Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Acosta Juan,5660122,14,Colombia,Man,50,Zonder specialiteit,19,1,15,158,62,[],7,3,1,0,2,1,3,0,0
Onbekend,Adami Wendy,5660418,24,Malta,Vrouw,160,Zonder specialiteit,18,1,15,182,77,[],12,1,0,6,1,2,6,0,0
Onbekend,Adamović Emilija,5658600,18,Srbija,Vrouw,490,Zonder specialiteit,20,1,15,157,52,[],13,6,8,3,2,2,6,0,0
Onbekend,Adamus Bronislav,5660374,17,Slovensko,Man,130,Zonder specialiteit,20,1,15,185,83,[],6,1,6,4,3,2,3,0,0
Onbekend,Advocaat Berend,5659955,17,Nederland,Man,260,Zonder specialiteit,11,1,15,176,75,[],7,3,3,8,2,2,2,0,0
Onbekend,Advocaat Talita,5659725,15,Nederland,Vrouw,130,Zonder specialiteit,11,1,15,153,50,[],13,2,2,2,4,3,1,0,0
Onbekend,Adyaksa Dayana,5658089,17,Indonesia,Vrouw,540,Zonder specialiteit,13,1,15,166,62,[],12,2,3,1,9,1,1,0,0
Onbekend,Aedla Kadri,5657971,22,Eesti,Vrouw,510,Zonder specialiteit,13,1,15,161,57,[],6,8,2,4,8,1,2,0,0
Onbekend,Afonso Telma,5620005,15,Brasil,Vrouw,930,Springers,20,1,16,168,68,"[('Hoogspringen', '0.75 m', '69', 7), ('Polsstokhoogspringen', '1.86 m', '128', 7), ('Verspringen', '2.76 m', '157', 7), ('Hinkstapspringen', '5.17 m', '113', 7)]",11,3,1,3,3,9,2,8,7
Onbekend,Afouras Antinoos,5651972,17,Hellas,Man,620,Middenafstandslopers,16,1,15,164,65,"[('800 meter', '2:31.56', '556', 8), ('1.500 meter', '4:59.69', '562', 8), ('3.000 meter steeplechase', '14:54.98', '565', 8)]",18,2,5,2,2,2,2,5,4
Onbekend,Aggonas Argiris,5660151,19,Cyprus,Man,690,Zonder specialiteit,11,1,15,189,91,[],11,8,2,3,1,1,9,0,0
Onbekend,Agostinelli Michelangelo,5620517,17,Italia,Man,1800,Springers,20,1,15,186,87,"[('Hoogspringen', '0.99 m', '204', 7), ('Polsstokhoogspringen', '2.57 m', '165', 7), ('Verspringen', '3.61 m', '203', 7), ('Hinkstapspringen', '7.00 m', '160', 7)]",18,2,1,2,4,9,2,7,9
Onbekend,Águas Júlia,5659383,15,Portugal,Vrouw,580,Meerkampers,18,1,15,170,62,[],15,8,1,2,3,6,2,6,5
Onbekend,Aguilar Bastien,5637026,17,France,Man,350,Meerkampers,19,1,13,166,67,"[('Vijfkamp Mannen - Verspringen', '2.39 m', '373', 8), ('Vijfkamp Mannen - Speerwerpen', '21.56 m', '346', 8), ('Vijfkamp Mannen - 200 meter', '28.20 s', '525', 8), ('Vijfkamp Mannen - Discuswerpen', '19.96 m', '336', 8), ('Vijfkamp Mannen - 1500 meter', '4:55.69', '522', 8), ('Tienkamp - 100 meter', '14.20 s', '469', 8), ('Tienkamp - Verspringen', '2.35 m', '367', 8), ('Tienkamp - Kogelstoten', '5.11 m', '289', 8), ('Tienkamp - Hoogspringen', '0.47 m', '279', 8), ('Tienkamp - 400 meter', '1:01.94', '600', 8), ('Tienkamp - 110 meter horden', '21.34 s', '490', 8), ('Tienkamp - Discuswerpen', '19.96 m', '336', 8), ('Tienkamp - Polsstokhoogspringen', '1.55 m', '327', 8), ('Tienkamp - Speerwerpen', '22.06 m', '354', 8), ('Tienkamp - 1500 meter', '4:55.73', '522', 8), ('Vijfkamp Mannen', '2102 p', '420', 8), ('Tienkamp', '4033 p', '403', 8)]",10,4,6,3,2,2,3,7,6
Onbekend,Aguilar Rodolfo,5660479,21,Perú,Man,150,Zonder specialiteit,20,1,15,173,71,[],10,6,3,2,2,2,6,0,0
Onbekend,Aguinaga Ángelo,5658012,24,Ecuador,Man,300,Zonder specialiteit,18,1,15,174,73,[],9,0,3,2,0,3,8,0,0
Onbekend,Aguzzi Yuri,5659457,15,Italia,Man,250,Zonder specialiteit,17,1,15,167,71,[],14,5,3,3,6,4,1,0,0
Onbekend,Ahokainen Arvid,5659151,16,Suomi,Man,210,Zonder specialiteit,19,1,15,170,71,[],13,1,1,3,6,0,1,0,0
3.000 meter steeplechase,Aidinidou Matina,4702857,41,Hellas,Vrouw,860,Middenafstandslopers,11,10,13,173,81,"[('800 meter', '2:51.14', '455', 8), ('1.500 meter', '5:40.53', '466', 8), ('3.000 meter steeplechase', '17:34.90', '607', 8)]",17,0,4,1,0,0,0,3,6
Onbekend,Aiomanu Oden,5658619,24,New Zealand,Man,680,Zonder specialiteit,15,1,15,190,84,[],11,3,3,1,3,3,10,0,0
Onbekend,Aita Ester,5639910,17,Italia,Vrouw,1100,Springers,16,1,15,175,72,"[('Hoogspringen', '0.76 m', '78', 7), ('Polsstokhoogspringen', '1.88 m', '136', 7), ('Verspringen', '2.77 m', '159', 7), ('Hinkstapspringen', '5.37 m', '140', 7)]",17,2,1,3,3,8,2,8,8
Onbekend,Aiza Ithaisa,5659427,17,España,Vrouw,160,Zonder specialiteit,13,1,15,160,55,[],13,5,3,2,4,2,1,0,0
Onbekend,Ajkunic Iris,5658470,15,Bosna i Hercegovina,Vrouw,140,Zonder specialiteit,13,1,15,149,45,[],13,2,2,3,3,2,2,0,0
Onbekend,Akimova Vasilisa,5658630,15,Belarus,Vrouw,560,Zonder specialiteit,18,1,15,166,61,[],10,2,1,9,1,5,0,0,0
Onbekend,Aksamit Iadviha,5657965,15,Ukrajina,Vrouw,380,Zonder specialiteit,13,1,15,157,49,[],14,3,2,2,3,8,0,0,0
Onbekend,Akuchie Chijioke,5658637,17,Nigeria,Man,650,Zonder specialiteit,16,1,15,178,73,[],17,2,2,2,3,3,8,0,0
Onbekend,Alamsyah Fatihah,5660042,14,Indonesia,Vrouw,200,Zonder specialiteit,13,1,15,149,42,[],6,2,1,1,1,2,7,0,0
Onbekend,Alanis Mateo,5659061,15,España,Man,120,Zonder specialiteit,19,1,15,168,68,[],7,2,6,1,2,3,1,0,0
Onbekend,Alba Gertrudis,5659227,17,España,Vrouw,700,Zonder specialiteit,14,1,15,157,54,[],14,1,2,1,3,9,2,0,0
Onbekend,Albelda Alazne,5659933,17,España,Vrouw,630,Zonder specialiteit,13,1,15,160,58,[],11,3,6,2,2,1,9,0,0
Onbekend,Alberti Zacarías,5628240,18,España,Man,820,Werpers,20,1,17,177,75,"[('Kogelstoten', '5.96 m', '0', 7), ('Discuswerpen', '23.12 m', '0', 7), ('Kogelslingeren', '23.09 m', '0', 7), ('Speerwerpen', '25.75 m', '0', 7)]",13,2,1,1,2,6,9,5,5
Onbekend,Albertsson Agni,5658099,16,Ísland,Man,1510,Zonder specialiteit,11,1,15,161,57,[],18,8,10,1,3,2,2,0,0
Onbekend,Alborch Anacleto,5659706,16,España,Man,330,Langeafstandslopers,14,1,15,169,67,"[('5.000 meter', '17:56.57', '507', 8), ('10.000 meter', '42:03.18', '463', 8), ('Marathon', '2h:51:31.93', '520', 8)]",8,2,8,6,3,2,2,3,4
Onbekend,Albuquerque Clélia,5660226,14,Portugal,Vrouw,150,Zonder specialiteit,11,1,15,163,53,[],11,2,1,6,1,1,3,0,0
Onbekend,Aldescu Elodia,5659505,14,România,Vrouw,830,Zonder specialiteit,16,1,15,160,54,[],19,2,2,3,7,3,1,0,0
Onbekend,Alecsandrescu Eric,5659503,15,România,Man,390,Zonder specialiteit,13,1,15,177,71,[],14,1,1,3,8,1,2,0,0
Onbekend,Aleksanderak Jolanta,5659705,17,Polska,Vrouw,900,Langeafstandslopers,16,1,15,161,60,"[('5.000 meter', '21:07.23', '502', 8), ('10.000 meter', '46:06.43', '491', 8), ('Marathon', '3h:12:21.36', '552', 8)]",18,8,8,2,1,2,3,5,5
Onbekend,Aleksandrowicz Julia,5659961,16,Polska,Vrouw,590,Zonder specialiteit,15,1,15,169,62,[],17,3,3,7,2,1,1,0,0
Onbekend,Alfonso Arlene,5658161,23,Venezuela,Vrouw,200,Zonder specialiteit,11,1,15,167,65,[],7,7,1,1,2,2,2,0,0
Onbekend,Alfreðsson Amos,5660394,24,Ísland,Man,120,Zonder specialiteit,19,1,15,177,78,[],11,2,4,4,5,3,4,0,0
Onbekend,Alger Ligaya,5660286,15,Pilipinas,Vrouw,330,Zonder specialiteit,18,1,15,169,59,[],14,1,2,7,1,6,3,0,0
Onbekend,Alič Boštjan,5660153,22,Slovenija,Man,1130,Zonder specialiteit,11,1,15,189,91,[],20,2,2,2,7,3,7,0,0
Onbekend,Alicante María Pilar,5607826,18,España,Vrouw,650,Sprinters,20,1,17,160,56,"[('100 meter', '15.32 s', '566', 8), ('200 meter', '30.43 s', '539', 8), ('400 meter', '1:09.76', '581', 8), ('100 meter horden', '21.61 s', '607', 8), ('400 meter horden', '1:19.63', '658', 8)]",16,2,2,6,1,3,2,8,4
Onbekend,Aliyu Datti Ode,5658295,20,Nigeria,Man,390,Zonder specialiteit,17,1,15,187,84,[],14,4,1,1,8,4,3,0,0
Onbekend,Allan Lamar,5622947,19,Barbados,Man,1260,Snelwandelaars,17,1,17,171,74,"[('10 km snelwandelen', '1h:00:41.68', '683', 7), ('20 km snelwandelen', '1h:59:06.50', '669', 7), ('50 km snelwandelen', '5h:04:50.31', '606', 7)]",11,3,9,1,9,2,3,4,7
Onbekend,Altinten Sermet,5660117,15,Türkiye,Man,350,Zonder specialiteit,18,1,15,179,74,[],16,6,2,4,3,3,1,0,0
Onbekend,Altiparmakovska Annika,5658293,23,FYR Makedonija,Vrouw,1470,Zonder specialiteit,20,1,15,178,74,[],16,8,1,2,10,1,3,0,0
Onbekend,Álvarez Héctor,5658806,22,Ecuador,Man,630,Zonder specialiteit,11,1,15,198,100,[],13,9,2,3,3,2,7,0,0
Onbekend,Alves Marcel,5658248,18,Switzerland,Man,1540,Zonder specialiteit,20,1,15,177,76,[],20,2,2,8,1,5,9,0,0
100 meter,Alves Zília,4887184,35,Portugal,Vrouw,35560,Sprinters,20,15,14,178,67,"[('100 meter', '12.87 s', '998', 8), ('200 meter', '25.39 s', '991', 8), ('400 meter', '59.24 s', '987', 8), ('100 meter horden', '19.46 s', '871', 8), ('400 meter horden', '1:11.33', '930', 8)]",20,17,0,18,0,0,0,8,8
Onbekend,Amadio Katia,5659215,15,Italia,Vrouw,1330,Meerkampers,18,1,15,157,52,[],11,10,6,3,3,9,1,4,6
Onbekend,Amaral Idalina,5608388,16,Portugal,Vrouw,430,Snelwandelaars,18,1,15,164,68,"[('10 km snelwandelen', '1h:08:20.95', '612', 7), ('20 km snelwandelen', '2h:20:19.14', '533', 7), ('50 km snelwandelen', '5h:46:47.02', '484', 7)]",14,3,4,3,3,1,2,6,7
Onbekend,Amat Naia,5637127,17,España,Vrouw,1190,Snelwandelaars,17,1,15,179,75,"[('10 km snelwandelen', '1h:07:08.34', '659', 7), ('20 km snelwandelen', '2h:15:44.68', '622', 7), ('50 km snelwandelen', '5h:33:40.46', '589', 7)]",16,4,8,2,2,3,8,7,7
Onbekend,Amatulli Rachele,5659083,15,Italia,Vrouw,980,Zonder specialiteit,13,1,15,158,55,[],8,7,3,10,3,3,3,0,0
Onbekend,Amaya Zulema,5658459,21,Colombia,Vrouw,150,Zonder specialiteit,20,1,15,170,66,[],9,7,1,1,0,1,2,0,0
Onbekend,Ambrose Kiana,5657999,22,New Zealand,Vrouw,350,Zonder specialiteit,19,1,15,171,62,[],15,1,0,7,2,1,3,0,0
Onbekend,Ambrose Nneka,5658395,20,Nigeria,Vrouw,1120,Zonder specialiteit,12,1,15,180,75,[],14,2,10,1,3,2,3,0,0
Onbekend,Ambrosetti Monette,5658894,17,Switzerland,Vrouw,290,Zonder specialiteit,17,1,15,167,62,[],13,5,1,1,7,2,2,0,0
Onbekend,Amel Marie-Cécile,5659235,14,France,Vrouw,160,Zonder specialiteit,18,1,15,164,59,[],9,3,3,7,3,0,2,0,0
Onbekend,Amerio Ginevra,5659037,16,Italia,Vrouw,710,Zonder specialiteit,14,1,15,165,60,[],15,1,5,0,2,9,1,0,0
Onbekend,Amertil Amanda,5658986,23,Bahamas,Vrouw,810,Zonder specialiteit,17,1,15,167,68,[],16,3,2,1,0,2,9,0,0
Onbekend,Amiot Ismaïl,5660045,17,France,Man,540,Zonder specialiteit,15,1,15,166,66,[],16,7,7,1,2,2,3,0,0
Onbekend,Amoruso Alighiero,5659867,17,Italia,Man,880,Zonder specialiteit,11,1,15,172,70,[],14,10,3,2,3,1,3,0,0
10 km snelwandelen,Amrani Adélaïde,4987478,34,France,Vrouw,16440,Snelwandelaars,20,13,19,186,50,"[('10 km snelwandelen', '57:10.76', '1046', 7), ('20 km snelwandelen', '1h:57:46.29', '973', 7), ('50 km snelwandelen', '4h:55:04.53', '899', 7)]",14,0,15,7,4,0,0,12,14
Onbekend,Amri Yahyah Yati,5658730,24,Malaysia,Vrouw,180,Zonder specialiteit,17,1,15,160,53,[],11,1,0,2,3,7,2,0,0
Onbekend,Anagnostouli Roumpini,5633825,17,Hellas,Vrouw,340,Middenafstandslopers,12,1,15,178,73,"[('800 meter', '2:46.80', '527', 8), ('1.500 meter', '5:33.48', '524', 8), ('3.000 meter steeplechase', '17:43.12', '587', 8)]",13,2,3,4,2,2,1,7,5
Onbekend,Anand Aindradyumni,5660485,21,India,Man,390,Zonder specialiteit,14,1,15,193,95,[],16,7,3,3,2,2,2,0,0
Onbekend,Anastasi Faith,5659557,17,Malta,Vrouw,930,Zonder specialiteit,19,1,15,168,59,[],17,3,9,6,0,2,1,0,0
Onbekend,Anaya Zacarías,5659038,14,España,Man,140,Zonder specialiteit,12,1,15,158,62,[],9,1,1,3,6,4,6,0,0
Onbekend,André Daniel,5659272,17,Portugal,Man,70,Zonder specialiteit,16,1,15,161,59,[],9,1,3,1,3,3,3,0,0
Onbekend,Andrews Shawn,5658337,20,Barbados,Man,460,Zonder specialiteit,11,1,15,187,84,[],8,8,3,2,1,8,2,0,0
Onbekend,Aneiros Senén,5578379,16,España,Man,990,Werpers,20,1,15,182,83,"[('Kogelstoten', '9.07 m', '110', 7), ('Discuswerpen', '32.36 m', '172', 7), ('Kogelslingeren', '31.80 m', '121', 7), ('Speerwerpen', '35.56 m', '206', 7)]",16,9,3,5,7,1,6,4,6
Onbekend,Angantýsdóttir Bjarkey,5658323,18,Ísland,Vrouw,1330,Zonder specialiteit,17,1,15,168,61,[],20,3,2,9,3,4,5,0,0
Onbekend,Annezot Alfred,5557831,17,France,Man,850,Meerkampers,20,2,20,183,87,"[('Vijfkamp Mannen - Verspringen', '3.22 m', '503', 8), ('Vijfkamp Mannen - Speerwerpen', '26.13 m', '420', 8), ('Vijfkamp Mannen - 200 meter', '28.18 s', '527', 8), ('Vijfkamp Mannen - Discuswerpen', '24.04 m', '405', 8), ('Vijfkamp Mannen - 1500 meter', '4:59.51', '484', 8), ('Tienkamp - 100 meter', '14.12 s', '486', 8), ('Tienkamp - Verspringen', '3.30 m', '516', 8), ('Tienkamp - Kogelstoten', '6.81 m', '385', 8), ('Tienkamp - Hoogspringen', '0.90 m', '535', 8), ('Tienkamp - 400 meter', '1:02.58', '570', 8), ('Tienkamp - 110 meter horden', '21.13 s', '520', 8), ('Tienkamp - Discuswerpen', '24.00 m', '404', 8), ('Tienkamp - Polsstokhoogspringen', '2.30 m', '485', 8), ('Tienkamp - Speerwerpen', '26.69 m', '429', 8), ('Tienkamp - 1500 meter', '4:57.23', '507', 8), ('Vijfkamp Mannen', '2339 p', '468', 8), ('Tienkamp', '4837 p', '484', 8)]",17,7,5,1,3,7,0,5,6
Onbekend,Antoniak Rafał,5659282,16,Polska,Man,490,Zonder specialiteit,14,1,15,171,73,[],16,1,1,7,2,2,7,0,0
Onbekend,Antonio Muñoz Horacio,5658647,23,Chile,Man,910,Zonder specialiteit,14,1,15,169,69,[],14,3,2,1,10,3,0,0,0
Onbekend,Antonio Muñoz Ramirez,5658305,16,Chile,Man,1370,Zonder specialiteit,18,1,15,164,62,[],19,3,2,3,10,3,2,0,0
Onbekend,Aparecida Luana,5660201,15,Brasil,Vrouw,1040,Zonder specialiteit,13,1,15,154,47,[],8,2,2,7,3,1,10,0,0
Onbekend,Apostolovski Bobi,5658015,20,FYR Makedonija,Man,290,Zonder specialiteit,17,1,15,189,87,[],12,3,3,8,3,2,1,0,0
Onbekend,Appolonia Martina,5567590,20,Italia,Vrouw,2590,Langeafstandslopers,19,2,17,164,63,"[('5.000 meter', '19:58.21', '653', 8), ('10.000 meter', '43:48.04', '630', 8), ('Marathon', '3h:01:41.41', '702', 8)]",9,2,11,6,2,1,1,5,11
Onbekend,Aquino Lualhati,5658484,16,Pilipinas,Vrouw,380,Zonder specialiteit,11,1,15,169,63,[],16,3,3,1,2,2,3,0,0
Onbekend,Aquino Orestes,5658416,24,Perú,Man,700,Zonder specialiteit,14,1,15,183,88,[],18,1,2,2,1,2,6,0,0
Onbekend,Arcos Esteve,5659851,17,España,Man,800,Zonder specialiteit,15,1,15,185,87,[],18,0,2,8,3,1,2,0,0
Onbekend,Arda Catarina,5634612,18,Deutschland,Vrouw,530,Sprinters,14,1,12,173,68,"[('100 meter', '15.18 s', '591', 7), ('200 meter', '30.54 s', '529', 7), ('400 meter', '1:09.07', '608', 7), ('100 meter horden', '21.55 s', '614', 7), ('400 meter horden', '1:19.03', '678', 7)]",10,3,1,9,2,1,0,3,4
Onbekend,Ardila Ernest,5658407,19,Colombia,Man,500,Zonder specialiteit,13,1,15,174,77,[],13,0,5,1,3,9,2,0,0
Onbekend,Aretz Kai,5660053,14,Deutschland,Man,170,Zonder specialiteit,15,1,15,169,71,[],12,3,3,3,6,4,2,0,0
Onbekend,Arévalo Geraldine,5658366,21,Perú,Vrouw,1250,Zonder specialiteit,11,1,15,179,74,[],8,10,9,7,1,1,2,0,0
Onbekend,Arizzi Alex,5609978,18,Italia,Man,1380,Springers,19,1,18,172,78,[],13,6,5,2,2,2,9,7,9
Onbekend,Arlati Boris,5647770,17,Italia,Man,500,Langeafstandslopers,15,1,14,166,68,"[('5.000 meter', '17:55.55', '510', 8), ('10.000 meter', '41:43.21', '485', 8), ('Marathon', '2h:49:22.14', '555', 8)]",6,4,9,3,2,2,3,4,4
Onbekend,Arlati Fabiana,5615838,18,Italia,Vrouw,640,Werpers,19,1,15,160,64,"[('Kogelstoten', '4.75 m', '0', 7), ('Discuswerpen', '20.56 m', '0', 7), ('Kogelslingeren', '18.91 m', '0', 7), ('Speerwerpen', '18.82 m', '0', 7)]",9,2,3,0,5,1,8,6,8
Onbekend,Arma Khalid,5660298,17,Al-Maghrib,Man,890,Zonder specialiteit,20,1,15,167,63,[],11,3,2,2,10,2,3,0,0
Onbekend,Armas Maya,5485334,20,España,Vrouw,2540,Meerkampers,17,2,11,187,87,[],17,2,12,6,3,4,1,4,9
Onbekend,Armbrister Harris,5658336,21,Bahamas,Man,270,Zonder specialiteit,18,1,15,185,85,[],15,3,3,3,2,6,0,0,0
Onbekend,Armbrister Michael,5658286,23,Bahamas,Man,240,Zonder specialiteit,15,1,15,178,82,[],10,1,2,1,3,8,3,0,0
Onbekend,Armijo Amadeu,5659907,16,España,Man,410,Snelwandelaars,14,1,15,176,81,[],12,1,8,3,4,2,2,4,4
Onbekend,Arnemann Reinhold,5658299,22,Eesti,Man,260,Zonder specialiteit,13,1,15,186,90,[],6,2,2,6,8,1,3,0,0
Onbekend,Arok Ksenija,5659518,22,Srbija,Vrouw,250,Zonder specialiteit,11,1,15,183,74,[],6,1,1,3,2,1,8,0,0
Onbekend,Arpioni Amos,5649362,16,Italia,Man,610,Werpers,18,1,15,168,64,"[('Kogelstoten', '4.13 m', '0', 7), ('Discuswerpen', '17.78 m', '0', 7), ('Kogelslingeren', '17.15 m', '0', 7), ('Speerwerpen', '19.52 m', '0', 7)]",17,3,3,2,4,2,5,4,7
Onbekend,Arrendello Clemente,5659858,15,Italia,Man,250,Zonder specialiteit,16,1,15,164,60,[],10,2,2,8,0,3,3,0,0
Onbekend,Arriola Aroa,5659230,17,España,Vrouw,100,Zonder specialiteit,13,1,15,167,64,[],8,6,5,2,0,2,3,0,0
Onbekend,Arsuffi Renato,5659181,17,Italia,Man,440,Zonder specialiteit,11,1,15,169,74,[],15,2,1,8,5,3,0,0,0
Onbekend,Artenie Maricica,5659050,14,România,Vrouw,80,Zonder specialiteit,13,1,15,154,48,[],9,2,2,3,2,1,5,0,0
Onbekend,Artigas Senén,5659822,17,España,Man,720,Zonder specialiteit,13,1,15,180,76,[],18,7,3,3,1,3,3,0,0
10.000 meter,Artime Natalia,5289246,27,Argentina,Vrouw,6510,Langeafstandslopers,20,9,16,160,45,"[('5.000 meter', '19:03.02', '773', 8), ('10.000 meter', '41:14.51', '785', 8), ('Marathon', '2h:52:00.42', '839', 8)]",14,1,13,5,3,0,1,11,10
Onbekend,Assous Natan,5658003,18,Yisra'el,Man,1000,Zonder specialiteit,17,1,15,173,67,[],16,3,2,9,3,1,8,0,0
Onbekend,Assunção Diego,5659898,14,Brasil,Man,410,Zonder specialiteit,18,1,15,156,61,[],10,3,2,8,6,2,1,0,0
10 km snelwandelen,Atkins Leslie,5572429,23,United States,Vrouw,1610,Snelwandelaars,20,2,15,174,69,"[('10 km snelwandelen', '1h:04:29.25', '762', 7), ('20 km snelwandelen', '2h:13:50.78', '659', 7), ('50 km snelwandelen', '5h:33:24.58', '591', 7)]",18,2,8,3,3,0,2,7,9
Onbekend,Atlan Yasmine,5582386,17,France,Vrouw,1170,Springers,20,2,15,175,75,"[('Hoogspringen', '0.84 m', '147', 7), ('Polsstokhoogspringen', '2.07 m', '208', 7), ('Verspringen', '2.94 m', '205', 7), ('Hinkstapspringen', '5.72 m', '187', 7)]",15,2,0,1,6,10,2,6,6
Onbekend,Atmaca Özer,5626240,17,Türkiye,Man,1800,Sprinters,16,1,18,181,82,"[('100 meter', '13.51 s', '679', 8), ('200 meter', '26.94 s', '723', 8), ('400 meter', '59.71 s', '772', 8), ('110 meter horden', '20.49 s', '712', 8), ('400 meter horden', '1:09.91', '773', 8)]",16,3,2,10,1,2,1,8,7
Onbekend,Attard Mia,5658347,15,Malta,Vrouw,1050,Zonder specialiteit,17,1,15,168,63,[],20,4,0,3,3,1,1,0,0
Onbekend,Au Ryan,5651118,16,Singapore,Man,770,Springers,13,1,15,169,70,"[('Hoogspringen', '0.45 m', '0', 7), ('Polsstokhoogspringen', '1.53 m', '0', 7), ('Verspringen', '2.33 m', '0', 7), ('Hinkstapspringen', '4.29 m', '0', 7)]",16,8,4,3,3,1,4,8,5
Onbekend,Auvray Achille,5659744,15,France,Man,490,Zonder specialiteit,12,1,15,157,58,[],6,1,8,2,3,8,1,0,0
Onbekend,Auvray Joseph,5603091,17,France,Man,1630,Middenafstandslopers,19,1,15,173,77,"[('800 meter', '2:20.14', '760', 8), ('1.500 meter', '4:42.69', '715', 8), ('3.000 meter steeplechase', '13:57.21', '739', 8)]",6,2,8,11,1,1,2,8,5
Onbekend,Auziņš Vladimirs,5637795,17,Latvija,Man,1640,Meerkampers,20,1,15,171,74,"[('Vijfkamp Mannen - Verspringen', '2.63 m', '411', 8), ('Vijfkamp Mannen - Speerwerpen', '22.07 m', '354', 8), ('Vijfkamp Mannen - 200 meter', '28.23 s', '522', 8), ('Vijfkamp Mannen - Discuswerpen', '19.84 m', '334', 8), ('Vijfkamp Mannen - 1500 meter', '5:00.01', '479', 8), ('Tienkamp - 100 meter', '14.20 s', '469', 8), ('Tienkamp - Verspringen', '2.65 m', '414', 8), ('Tienkamp - Kogelstoten', '5.55 m', '314', 8), ('Tienkamp - Hoogspringen', '0.56 m', '333', 8), ('Tienkamp - 400 meter', '1:02.65', '567', 8), ('Tienkamp - 110 meter horden', '21.34 s', '490', 8), ('Tienkamp - Discuswerpen', '20.79 m', '350', 8), ('Tienkamp - Polsstokhoogspringen', '1.70 m', '358', 8), ('Tienkamp - Speerwerpen', '21.53 m', '346', 8), ('Tienkamp - 1500 meter', '5:00.72', '472', 8), ('Vijfkamp Mannen', '2100 p', '420', 8), ('Tienkamp', '4113 p', '411', 8)]",20,6,2,2,1,3,2,8,8
Onbekend,Ávila Cândida,5660223,17,Portugal,Vrouw,940,Zonder specialiteit,18,1,15,171,60,[],16,1,1,10,2,3,1,0,0
Onbekend,Ávila Édgar,5650345,17,Ecuador,Man,610,Langeafstandslopers,16,1,15,183,79,"[('5.000 meter', '18:54.48', '359', 8), ('10.000 meter', '44:04.36', '328', 8), ('Marathon', '3h:01:02.47', '367', 8)]",14,7,1,1,3,2,3,8,3
Onbekend,Avilés Narcisa,5658116,18,Ecuador,Vrouw,340,Zonder specialiteit,20,1,15,162,53,[],12,3,7,1,1,6,7,0,0
Onbekend,Avramovic Paula,5455323,20,Argentina,Vrouw,1670,Middenafstandslopers,20,1,11,170,74,"[('800 meter', '2:41.21', '619', 8), ('1.500 meter', '5:18.80', '645', 8), ('3.000 meter steeplechase', '16:56.61', '704', 8)]",15,2,10,5,2,2,3,8,8
Onbekend,Awasthi Asesa,5660156,18,India,Man,70,Zonder specialiteit,16,1,15,178,78,[],8,0,3,4,2,1,3,0,0
