Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Pietrangelo Graziano,5634572,17,Italia,Man,500,Snelwandelaars,17,1,15,179,81,2025-02-18 22:39:28,16,3,2,3,3,0,3,6,7
Onbekend,Castelnuovo Santo,5578543,19,Italia,Man,1510,Snelwandelaars,20,1,12,194,96,2025-02-18 22:40:17,20,3,5,1,7,2,2,7,8
200 meter,Fillietroz Alba,4795778,38,Italia,Vrouw,2040,Sprinters,16,10,11,185,67,2025-02-18 22:40:32,19,0,0,7,6,0,0,9,7
3.000 meter steeplechase,Mungo Clara,5201134,29,Italia,Vrouw,4580,Middenafstandslopers,18,7,17,176,72,2025-02-18 22:40:53,12,3,11,12,3,1,2,9,10
Onbekend,Salierno Teresa,5659937,17,Italia,Vrouw,980,Zonder specialiteit,17,1,14,161,54,2025-02-18 22:41:06,19,3,4,3,2,8,6,0,0
10 km snelwandelen,Kolivas Apostolos,5281592,28,Hellas,Man,5200,Snelwandelaars,19,7,15,184,80,2025-02-18 23:14:04,11,2,13,1,5,2,2,10,11
Onbekend,Bettoso Nicola,5496346,19,Italia,Man,2580,Langeafstandslopers,20,3,16,185,93,2025-02-18 23:14:26,9,3,12,7,3,1,2,7,7
Discuswerpen,Lozza Fernando,5333705,25,Italia,Man,4800,Werpers,20,5,17,188,84,2025-02-18 23:14:51,19,11,1,3,3,2,11,11,9
Onbekend,de Jong Gea,5611026,17,Nederland,Vrouw,220,Middenafstandslopers,11,1,15,182,83,2025-02-19 00:11:30,8,1,3,7,2,3,1,3,4
Onbekend,van Geel Twan,5635337,17,Nederland,Man,420,Springers,20,1,14,188,87,2025-02-19 00:12:01,8,1,7,2,3,4,5,8,6
20 km snelwandelen,Nosella Erica,5155326,31,Italia,Vrouw,6410,Snelwandelaars,20,9,15,175,61,2025-02-19 00:13:11,10,2,12,0,2,1,7,12,11
Verspringen,Mantzarli Giouli,5234290,29,Hellas,Vrouw,5090,Springers,20,7,16,164,46,2025-02-19 00:15:04,11,3,3,9,4,13,5,11,9
Onbekend,Traczyk Aleksander,5659969,17,Polska,Man,1600,Zonder specialiteit,13,1,14,167,73,2025-02-19 00:44:31,10,10,10,3,3,3,3,0,0
Onbekend,Niedźwiedź Roksana,5651010,16,Polska,Vrouw,1130,Zonder specialiteit,15,1,15,173,68,2025-02-19 00:46:26,17,2,1,3,10,2,3,0,0
400 meter,Sadlok Urszula,5506015,18,Polska,Vrouw,2750,Sprinters,20,3,19,186,88,2025-02-19 00:46:54,10,8,3,12,3,1,1,7,8
Onbekend,Cabán Silvina,5659806,14,España,Vrouw,1150,Springers,12,1,14,169,63,2025-02-19 07:27:07,18,1,2,3,2,8,5,7,7
Onbekend,Irons Trevene,5656360,15,Jamaica,Vrouw,630,Springers,14,1,15,175,68,2025-02-19 09:27:40,13,4,4,2,3,8,3,5,7
Onbekend,Rolands Lisa,5610014,16,Jamaica,Vrouw,2200,Springers,20,1,15,152,52,2025-02-19 09:28:09,20,2,1,1,1,11,1,6,5
Onbekend,Patricks Donna,5606861,17,Jamaica,Vrouw,1190,Springers,18,2,19,159,59,2025-02-19 09:28:31,13,8,2,1,9,7,0,6,7
Onbekend,Reid Sébastien,5608418,17,Canada,Man,540,Middenafstandslopers,18,1,15,183,87,2025-02-19 09:30:33,13,2,8,4,1,2,3,5,7
3.000 meter steeplechase,Baert Yara,5505919,30,België,Vrouw,1760,Middenafstandslopers,20,4,18,177,77,2025-02-19 10:05:16,16,2,4,10,3,1,0,8,7
Onbekend,Kosters Jason,5544223,17,België,Man,1890,Langeafstandslopers,20,2,16,175,87,2025-02-19 10:06:49,10,2,12,3,0,0,3,7,7
Onbekend,Kalaki Popi,5532565,18,Hellas,Vrouw,1480,Snelwandelaars,20,1,11,181,84,2025-02-19 10:26:37,14,2,9,3,10,1,2,6,7
Onbekend,Salmatanis Iliodoros,5649804,17,Hellas,Man,970,Werpers,14,1,16,189,93,2025-02-19 10:26:50,12,10,2,1,3,3,3,7,7
Onbekend,Pawelec Kamil,5661491,14,Polska,Man,620,Zonder specialiteit,17,1,15,160,63,2025-02-19 10:57:15,16,7,3,5,1,7,3,0,0
Verspringen,Hoyte Deborah,5448637,22,Barbados,Vrouw,3140,Springers,20,3,19,172,64,2025-02-19 11:01:18,20,1,3,2,9,11,1,7,7
10 km snelwandelen,Halprin Maria,5478213,22,Österreich,Vrouw,3180,Snelwandelaars,20,2,19,172,67,2025-02-19 11:02:43,20,3,11,1,7,1,2,8,8
Onbekend,Góis Itelvina,5603535,17,Portugal,Vrouw,1750,Langeafstandslopers,20,1,14,176,80,2025-02-19 11:53:57,20,3,10,3,3,2,3,3,7
Onbekend,Crespo Ângelo,5656404,17,Portugal,Man,1580,Werpers,13,1,14,170,74,2025-02-19 11:54:11,17,3,2,1,3,1,10,6,8
Zevenkamp,Saudade Fortunata,4898759,35,Portugal,Vrouw,9980,Meerkampers,20,13,13,169,64,2025-02-19 11:54:23,15,7,0,14,12,0,0,10,6
Onbekend,Vila Aquilino,5565396,17,Portugal,Man,2540,Langeafstandslopers,20,1,15,180,86,2025-02-19 11:54:34,17,2,9,3,3,1,11,9,6
1.500 meter,Noronha Orlando,5038870,34,Portugal,Man,5800,Middenafstandslopers,19,11,14,165,56,2025-02-19 11:55:00,10,1,11,8,0,1,0,12,9
Speerwerpen,Webb Peter,5199195,30,United States,Man,7940,Werpers,20,9,17,187,67,2025-02-19 12:17:22,16,9,0,3,9,1,14,12,7
Onbekend,Leitão Anália,5624500,17,Portugal,Vrouw,1570,Sprinters,18,1,15,156,55,2025-02-19 12:19:23,18,10,3,8,2,3,1,5,7
110 meter horden,Henao Arsenio,4906403,38,España,Man,4960,Sprinters,18,15,13,174,69,2025-02-19 12:20:51,17,0,0,8,2,0,0,8,8
Vijfkamp Mannen,Lampreave Manex,5038644,32,España,Man,6270,Meerkampers,20,12,11,180,76,2025-02-19 12:20:59,14,3,1,0,3,1,9,12,11
10 km snelwandelen,Monje Arrate,5208291,30,España,Vrouw,3120,Snelwandelaars,20,5,12,167,60,2025-02-19 12:21:05,15,0,12,1,2,3,4,8,9
Onbekend,Resende Faustino,5533779,19,Portugal,Man,4100,Springers,20,2,19,180,83,2025-02-19 12:25:41,18,3,0,5,10,12,0,6,9
Onbekend,Sanches Vitorino,5601276,17,Portugal,Man,1480,Werpers,20,2,17,182,87,2025-02-19 12:27:06,18,10,3,2,2,2,6,7,4
100 meter,Sempere Oier,5231103,26,España,Man,32080,Sprinters,19,7,17,194,94,2025-02-19 12:29:23,18,15,3,20,1,1,3,8,10
Hoogspringen,Rosseel Maaike,4979551,34,België,Vrouw,8620,Springers,19,10,19,185,71,2025-02-19 12:29:34,20,0,5,0,14,13,0,9,7
Onbekend,Connor Shawn,5553312,17,Canada,Man,1380,Sprinters,20,2,13,173,84,2025-02-19 13:20:49,7,6,3,10,2,7,3,6,8
Onbekend,Dobriskey Mackenzie,5552608,20,Great Britain,Man,790,Langeafstandslopers,17,1,13,179,79,2025-02-19 13:34:08,7,5,9,8,3,2,3,6,6
Onbekend,McLean Craig,5579547,18,Great Britain,Man,2890,Langeafstandslopers,20,1,12,174,81,2025-02-19 13:34:35,19,0,10,3,2,2,9,9,8
Onbekend,Susic Loretta,5548726,17,Italia,Vrouw,1590,Sprinters,20,1,12,168,72,2025-02-19 14:07:38,17,2,2,9,2,0,4,8,8
200 meter,Redondo Galder,5443704,21,España,Man,19590,Sprinters,20,4,13,181,79,2025-02-19 14:15:55,19,2,4,19,2,2,6,9,7
Zevenkamp,Rennella Alice,5041281,31,Italia,Vrouw,4280,Meerkampers,20,9,17,167,57,2025-02-19 14:36:43,16,6,9,10,1,12,2,8,9
Onbekend,Segarra Ithaisa,5566189,17,España,Vrouw,1280,Sprinters,20,2,15,173,75,2025-02-19 15:29:01,14,3,2,6,3,4,1,10,8
Onbekend,de Lucas Antònia,5656314,17,España,Vrouw,1050,Meerkampers,12,1,14,166,67,2025-02-19 15:29:16,14,10,1,3,3,1,3,6,5
Onbekend,Doornbos Maartje,5659575,14,Nederland,Vrouw,590,Meerkampers,19,1,14,161,58,2025-02-19 15:34:08,14,3,1,5,2,4,8,7,6
Discuswerpen,Pérez Silvia,5486240,20,Argentina,Vrouw,2590,Werpers,20,4,15,172,74,2025-02-19 15:34:34,9,9,3,2,6,2,12,6,7
Onbekend,Derks Erwin,5563241,17,Nederland,Man,1940,Sprinters,20,1,18,179,86,2025-02-19 17:01:50,15,9,1,11,1,0,5,7,5
Onbekend,van Prooijen Jurre,5551879,17,Nederland,Man,4350,Sprinters,20,1,17,172,83,2025-02-19 17:02:19,15,4,0,14,3,2,1,5,8
Onbekend,Krayss Armando,5554783,17,Switzerland,Man,3540,Middenafstandslopers,20,2,16,190,99,2025-02-19 17:02:48,10,3,13,9,1,0,2,6,7
Onbekend,Bos Ankie,5549679,18,Nederland,Vrouw,2090,Middenafstandslopers,20,2,15,174,73,2025-02-19 17:03:13,10,1,10,11,1,0,1,7,6
Onbekend,Stisniovski Peco,5601911,17,FYR Makedonija,Man,2890,Springers,20,2,18,179,81,2025-02-19 17:04:51,20,1,2,2,7,10,1,9,9
Onbekend,Lunevičienė Agnė,5615320,17,Lietuva,Vrouw,2060,Sprinters,17,1,18,182,85,2025-02-19 17:06:34,10,2,2,10,10,3,3,8,6
Speerwerpen,Beier Detlev,5187194,29,Deutschland,Man,10960,Werpers,20,8,16,176,70,2025-02-19 17:16:18,18,11,2,0,4,5,14,11,13
Kogelslingeren,Silvosa Gràcia,5084771,30,España,Vrouw,9070,Werpers,19,13,15,185,82,2025-02-19 17:19:02,11,12,0,2,2,1,12,11,11
Onbekend,Echanove Jeremías,5592218,18,España,Man,1890,Werpers,20,1,14,175,81,2025-02-19 17:20:05,14,3,0,9,4,3,10,8,6
Onbekend,Cordobés Azucena,5538248,17,España,Vrouw,690,Sprinters,20,2,14,185,90,2025-02-19 17:20:09,13,7,6,6,4,8,2,6,5
Onbekend,Altés Florencio,5611858,17,España,Man,1010,Sprinters,20,1,15,178,81,2025-02-19 17:20:13,10,5,0,10,5,2,3,5,6
20 km snelwandelen,Peñas Delia,5289623,25,España,Vrouw,15530,Snelwandelaars,20,6,16,185,83,2025-02-19 17:43:53,11,4,18,5,7,2,2,8,11
Onbekend,Voisin Omar,5594072,17,France,Man,2030,Springers,20,2,19,176,83,2025-02-19 17:45:37,18,1,3,3,6,10,1,5,9
100 meter,Van Blitterswijk Anissa,4898529,35,België,Vrouw,17860,Sprinters,19,14,17,179,73,2025-02-19 18:23:54,18,10,2,17,0,0,0,10,8
3.000 meter steeplechase,Muroi Yuma,4894841,35,Nippon,Man,15470,Middenafstandslopers,20,15,18,193,67,2025-02-19 18:24:01,20,1,15,14,0,0,0,8,8
Marathon,Stewart Dakota,4928049,36,United States,Man,27240,Langeafstandslopers,20,14,17,171,58,2025-02-19 18:24:10,19,0,19,2,0,4,0,11,10
Tienkamp,Fontes Arsénio,4941661,35,Portugal,Man,6050,Meerkampers,20,13,18,183,74,2025-02-19 18:24:16,20,6,3,11,5,3,0,10,8
Onbekend,Rutarová Jana,5659375,17,Česká republika,Vrouw,1220,Meerkampers,11,1,15,171,60,2025-02-19 18:30:22,18,3,3,3,2,6,10,5,3
Marathon,Stuchlová Karla,5085230,30,Česká republika,Vrouw,12620,Langeafstandslopers,20,10,15,170,67,2025-02-19 18:30:38,12,4,10,9,0,2,2,14,14
Onbekend,Zniti Jasmina,5622646,16,Al-Maghrib,Vrouw,1100,Langeafstandslopers,20,1,17,166,63,2025-02-19 19:05:13,8,1,10,3,3,3,1,6,8
Onbekend,Marković Filip,5628339,16,Hrvatska,Man,1360,Meerkampers,16,1,17,186,89,2025-02-19 19:08:07,17,10,3,6,3,3,4,6,6
Onbekend,Claessens Lieke,5659315,17,Nederland,Vrouw,1140,Zonder specialiteit,11,1,14,168,64,2025-02-19 20:15:55,18,2,2,3,9,1,2,0,0
Verspringen,Jadraque Urtzi,5006738,33,España,Man,10130,Springers,20,12,19,177,69,2025-02-19 20:28:50,17,0,0,2,5,14,0,11,12
Onbekend,Meessen Timon,5578580,17,Deutschland,Man,2770,Springers,20,1,16,177,89,2025-02-19 20:30:27,20,2,3,10,4,10,3,7,6
Onbekend,Jurczyk Włodzimierz,5547452,17,Polska,Man,2610,Springers,20,3,18,173,73,2025-02-19 21:00:26,19,1,3,2,6,11,2,6,8
400 meter,Figueiredo Maicon,4996106,33,Brasil,Man,23530,Sprinters,20,13,17,180,71,2025-02-19 21:20:04,20,2,0,18,14,1,0,9,11
Hinkstapspringen,Stanisławska Kalina,5579329,21,Polska,Vrouw,2500,Springers,20,2,15,171,58,2025-02-19 21:20:19,11,3,1,5,5,8,2,10,11
Onbekend,McFadden Hayden,5635165,16,Great Britain,Man,1650,Springers,18,1,15,165,69,2025-02-19 21:23:24,20,2,1,1,9,7,4,5,8
Onbekend,Hammadou Samiah,5601425,17,Al-Jazā'ir,Vrouw,1850,Sprinters,20,2,18,160,60,2025-02-19 21:36:50,19,7,2,10,3,2,3,8,5
Onbekend,Perlangeli Adriana,5551025,17,Italia,Vrouw,2630,Sprinters,20,2,18,160,68,2025-02-19 21:37:13,16,10,2,11,2,1,2,6,8
Onbekend,Puppin Oliviero,5562284,17,Italia,Man,2690,Middenafstandslopers,20,2,19,169,83,2025-02-19 21:37:32,12,0,12,6,0,2,2,6,8
Onbekend,Pernici Azzurra,5606462,17,Italia,Vrouw,1660,Middenafstandslopers,20,1,18,166,68,2025-02-19 21:38:06,19,3,9,8,3,2,2,7,6
Onbekend,Cerrone Gennaro,5599975,17,Italia,Man,2680,Langeafstandslopers,20,2,18,186,92,2025-02-19 21:38:24,19,3,11,4,2,3,2,7,8
Onbekend,Fantauzzi Dario,5584914,17,Italia,Man,3100,Snelwandelaars,20,2,19,173,84,2025-02-19 21:38:55,16,1,12,1,4,6,3,6,8
Onbekend,Ridolfo Tullio,5620831,17,Italia,Man,1960,Snelwandelaars,20,1,18,169,70,2025-02-19 21:39:23,17,1,11,2,9,3,2,7,4
Onbekend,Northey Eva,5600755,17,Australia,Vrouw,3910,Snelwandelaars,20,2,18,158,60,2025-02-19 21:39:38,20,4,13,0,1,3,3,8,5
Onbekend,Pirlo Glory,5607635,17,Italia,Vrouw,2320,Snelwandelaars,20,2,20,171,75,2025-02-19 21:39:53,15,2,12,3,8,2,2,4,6
Onbekend,Scatena Carmine,5556073,17,Italia,Man,2560,Springers,20,2,20,183,89,2025-02-19 21:40:20,14,9,3,1,8,11,1,8,8
Onbekend,Delussu Katia,5613681,17,Italia,Vrouw,1470,Werpers,20,2,17,177,72,2025-02-19 21:40:38,14,8,1,5,3,0,10,6,5
Onbekend,La Penna Moreno,5536685,17,Italia,Man,1830,Meerkampers,20,2,17,165,75,2025-02-19 21:40:57,18,10,4,7,8,4,3,7,8
Onbekend,Verni Wilma,5617284,17,Italia,Vrouw,1970,Meerkampers,19,1,20,186,83,2025-02-19 21:41:12,14,3,2,11,7,3,7,7,7
Onbekend,Morton Angelica,5621514,16,United States,Vrouw,1200,Werpers,13,1,15,170,68,2025-02-20 03:28:24,16,6,1,2,3,3,10,6,7
Onbekend,Strong Cody,5550878,17,United States,Man,6470,Snelwandelaars,20,2,15,196,106,2025-02-20 03:51:50,20,3,14,1,2,6,2,8,9
Onbekend,Rutledge Aaron,5661720,14,United States,Man,60,Zonder specialiteit,16,1,15,168,69,2025-02-20 04:43:39,8,3,2,2,2,2,1,0,0
Onbekend,Blake Caitlin,5653021,16,United States,Vrouw,830,Zonder specialiteit,14,1,14,175,74,2025-02-20 04:43:45,7,1,2,3,2,2,10,0,0
Vijfkamp Mannen,Kourkourikis Karolos,4987659,33,Hellas,Man,5770,Meerkampers,20,14,16,179,75,2025-02-20 05:01:54,20,6,6,6,5,3,0,8,11
Onbekend,Delcourt Nicolas,5661727,17,France,Man,750,Zonder specialiteit,15,1,15,172,72,2025-02-20 05:15:13,18,3,8,2,7,2,1,0,0
100 meter,Condruc Jean,5023019,33,România,Man,34550,Sprinters,19,15,13,179,71,2025-02-20 05:43:38,19,1,2,20,1,1,0,10,12
400 meter horden,Trifu Delia,5215041,27,România,Vrouw,28160,Sprinters,20,9,14,168,61,2025-02-20 05:45:05,18,2,3,19,12,3,2,14,10
1.500 meter,Nistor Dănuţ,5316389,25,România,Man,6800,Middenafstandslopers,19,7,13,191,83,2025-02-20 05:45:58,16,3,14,4,2,1,2,9,11
10 km snelwandelen,Nistor Şerban,5122842,29,România,Man,15070,Snelwandelaars,20,11,13,198,103,2025-02-20 05:47:15,15,2,17,1,7,1,3,10,10
Hoogspringen,Dică Anghel,5185194,28,România,Man,10400,Springers,20,10,15,188,83,2025-02-20 05:48:08,17,3,3,2,6,14,3,12,12
Hinkstapspringen,Lupescu Sebastian,5126887,30,România,Man,14520,Springers,20,16,16,176,63,2025-02-20 05:48:26,15,0,0,1,12,14,4,12,11
Hoogspringen,Deleanu Estera,5124680,29,România,Vrouw,13740,Springers,20,13,14,168,66,2025-02-20 05:48:59,10,3,0,0,10,16,2,9,10
Verspringen,Mihail Gianina,5225366,29,România,Vrouw,14360,Springers,20,13,13,164,49,2025-02-20 05:49:12,14,2,2,0,12,15,1,13,11
Discuswerpen,Anca Ieremia,5135853,29,România,Man,9750,Werpers,20,12,15,198,98,2025-02-20 05:49:31,15,14,2,2,2,1,6,12,11
Vijfkamp Mannen,Pauker Ieremia,5094551,32,România,Man,10900,Meerkampers,20,15,14,174,60,2025-02-20 05:50:40,17,6,3,8,2,1,2,14,10
Vijfkamp Vrouwen,Bogdan Alexandra,4966737,34,România,Vrouw,11060,Meerkampers,18,16,13,164,51,2025-02-20 05:50:52,16,3,1,8,2,7,2,12,10
Onbekend,Villalpando Abril,5578239,17,España,Vrouw,850,Snelwandelaars,20,2,17,186,91,2025-02-20 06:54:25,10,3,9,4,2,3,3,7,7
Vijfkamp Vrouwen,Krawczyńska Teresa,5218480,28,Polska,Vrouw,3820,Meerkampers,19,7,14,183,71,2025-02-20 07:27:30,17,8,5,9,9,7,5,10,10
Onbekend,Hof Hannah,5661864,17,Nederland,Vrouw,1570,Snelwandelaars,15,1,15,171,65,2025-02-20 07:58:21,9,1,10,2,6,3,1,8,9
10.000 meter,Saliwa Jeff,4888218,36,South Africa,Man,23570,Langeafstandslopers,19,17,17,180,67,2025-02-20 08:17:20,16,0,18,10,0,0,0,9,10
Onbekend,Knowle Joanie,5660524,17,Österreich,Vrouw,630,Sprinters,19,1,14,156,56,2025-02-20 08:17:44,7,6,3,5,5,1,2,9,5
Onbekend,Gafa’ Nicoletta,5590798,17,Italia,Vrouw,1840,Werpers,20,1,17,175,81,2025-02-20 08:24:41,16,11,2,0,1,2,5,6,8
Onbekend,Lecuona Hermelinda,5548295,17,España,Vrouw,13620,Langeafstandslopers,20,1,17,165,74,2025-02-20 08:29:11,17,3,17,0,0,10,5,6,6
Onbekend,Barcia Benjamín,5551148,17,España,Man,3510,Langeafstandslopers,20,1,14,171,65,2025-02-20 08:30:57,11,4,13,2,3,7,2,6,6
Onbekend,Escuder Fabián,5661867,14,España,Man,340,Sprinters,12,1,15,159,58,2025-02-20 08:31:27,12,1,3,7,3,2,3,6,6
Onbekend,Bazán Aníbal,5647521,14,España,Man,1110,Sprinters,19,1,16,165,66,2025-02-20 08:31:32,18,3,1,9,2,3,1,7,4
Onbekend,Acebo José Juan,5653210,15,España,Man,470,Sprinters,12,1,17,158,59,2025-02-20 08:31:36,14,6,1,5,2,6,2,5,6
Onbekend,Mairal Florencio,5606546,16,España,Man,1290,Sprinters,17,1,16,166,72,2025-02-20 08:31:49,15,4,4,10,2,3,5,7,7
Onbekend,Muelas Trinidad,5639758,16,España,Vrouw,870,Sprinters,14,1,16,162,63,2025-02-20 08:31:57,17,8,0,5,3,1,2,5,7
Onbekend,Aramburu Pedro,5636576,17,España,Man,1380,Middenafstandslopers,17,1,15,186,84,2025-02-20 08:32:04,11,1,6,10,1,1,2,9,6
Onbekend,Ojeda Amaia,5661868,17,España,Vrouw,2130,Langeafstandslopers,10,1,15,171,64,2025-02-20 08:32:16,19,10,10,2,3,3,3,4,5
Onbekend,Mistral Joana,5610151,16,España,Vrouw,730,Snelwandelaars,20,1,17,165,63,2025-02-20 08:32:28,6,3,8,3,7,3,3,6,8
Onbekend,Lerma Ixeya,5636578,15,España,Vrouw,860,Springers,17,1,17,154,52,2025-02-20 08:32:56,17,1,2,2,3,7,3,7,5
Onbekend,Lastra Rogelio,5514750,18,España,Man,5220,Springers,20,2,16,185,91,2025-02-20 08:33:47,10,1,3,2,10,13,1,9,9
1.500 meter,Nekrasov Sokrat,4945941,36,Belarus,Man,34190,Middenafstandslopers,18,16,17,173,48,2025-02-20 08:33:59,19,0,20,12,0,0,0,8,9
Kogelslingeren,Drožová Zita,4852808,36,Česká republika,Vrouw,23780,Werpers,17,15,17,190,86,2025-02-20 08:34:06,19,16,0,0,0,2,16,8,9
Speerwerpen,Hobkirk Brooke,4849270,36,Canada,Vrouw,11870,Werpers,14,15,16,184,86,2025-02-20 08:34:15,12,13,0,0,0,0,14,8,10
Kogelstoten,Lorenzato Patrícia,4900283,36,Brasil,Vrouw,22000,Werpers,18,16,16,174,64,2025-02-20 08:34:20,17,17,0,0,0,0,15,5,7
Verspringen,Poole Destiny,4963702,35,United States,Vrouw,24790,Springers,18,16,19,175,67,2025-02-20 08:35:05,20,0,0,3,17,14,0,10,11
110 meter horden,Šlégr Gabriel,5195823,27,Česká republika,Man,46540,Sprinters,20,11,15,187,83,2025-02-20 08:35:10,20,2,1,19,19,4,3,13,11
Onbekend,van de Wijgert Harold,5661929,17,Nederland,Man,960,Springers,18,1,15,173,73,2025-02-20 08:38:30,10,2,3,5,1,10,1,8,4
Onbekend,Baldauf Terrance,5593934,17,Österreich,Man,4010,Werpers,20,3,18,176,84,2025-02-20 08:39:28,19,1,3,3,2,3,13,8,6
Onbekend,Stangassinger Aberle,5661923,17,Österreich,Man,390,Zonder specialiteit,13,1,15,164,60,2025-02-20 08:40:07,7,2,3,8,2,1,6,0,0
Onbekend,van der Jagt Willem-Jan,5613845,17,Nederland,Man,1320,Middenafstandslopers,15,1,15,169,77,2025-02-20 08:41:07,9,1,9,10,3,2,1,5,8
Onbekend,van Beek Ramon,5596700,17,Nederland,Man,1270,Meerkampers,18,1,15,180,87,2025-02-20 08:41:20,17,6,2,5,9,8,2,5,5
100 meter,Remón Carles,5268745,27,España,Man,4930,Sprinters,20,6,14,175,68,2025-02-20 08:43:43,8,7,5,13,1,1,1,9,11
Onbekend,Sarsa María Pilar,5442236,20,España,Vrouw,24890,Middenafstandslopers,20,3,17,180,85,2025-02-20 08:44:32,19,2,20,6,1,6,5,2,2
Onbekend,Colorado Lorena,5652395,15,España,Vrouw,1280,Werpers,14,1,14,175,70,2025-02-20 08:48:31,20,1,3,5,6,3,8,7,3
Onbekend,Rios Emílio,5603625,17,Portugal,Man,700,Langeafstandslopers,19,1,15,173,75,2025-02-20 08:48:38,15,2,9,1,3,2,3,5,4
Onbekend,Velasques Vera,5539437,17,Portugal,Vrouw,2470,Sprinters,20,2,16,172,73,2025-02-20 08:49:22,11,12,3,7,1,0,3,5,7
Hoogspringen,Vasques Olinda,5513165,18,Portugal,Vrouw,840,Springers,20,3,15,168,75,2025-02-20 08:49:31,6,2,0,3,6,7,1,7,9
Onbekend,Vicente Liberto,5578895,18,Portugal,Man,1570,Springers,20,2,14,169,78,2025-02-20 08:49:41,7,2,3,3,9,6,3,6,10
Onbekend,Sampaio Iris,5556378,19,Portugal,Vrouw,250,Middenafstandslopers,15,1,13,174,70,2025-02-20 08:49:50,6,3,3,6,1,2,2,7,6
Onbekend,Santos Ricardo,5582241,16,Portugal,Man,800,Springers,20,1,13,174,78,2025-02-20 08:49:57,7,3,1,5,3,9,0,7,7
Onbekend,Luís Adriana,5656151,17,Portugal,Vrouw,1020,Springers,17,1,14,166,57,2025-02-20 08:50:06,18,2,3,1,8,3,1,8,4
Zevenkamp,Zibechi Marquilla,5070238,32,Uruguay,Vrouw,4730,Meerkampers,19,12,17,172,67,2025-02-20 08:57:53,15,8,0,7,8,8,2,11,10
3.000 meter steeplechase,Griffin Juan,5271587,31,United States,Man,7710,Middenafstandslopers,20,7,16,187,77,2025-02-20 09:15:56,17,1,11,8,2,1,0,13,12
Onbekend,Alippi Agostino,5661988,17,Italia,Man,1470,Sprinters,14,1,15,185,85,2025-02-20 09:19:44,17,2,2,10,6,3,0,7,6
Onbekend,Di Dario Monique,5538255,18,Italia,Vrouw,1640,Middenafstandslopers,20,1,19,165,72,2025-02-20 09:30:12,19,2,8,8,2,2,9,7,6
Onbekend,Clerc Wendie,5662016,17,France,Vrouw,1640,Sprinters,17,1,15,156,48,2025-02-20 09:36:15,14,1,2,9,10,2,1,7,4
Onbekend,Astier Gwenaelle,5635195,17,France,Vrouw,1870,Sprinters,20,1,10,159,63,2025-02-20 09:36:59,20,3,1,10,3,1,3,6,8
