Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2,Transferwaarde,Waarde,AtleetId
Onbekend,Vidal Abraham,5664137,15,España,Man,740,Zonder specialiteit,15,1,15,178,76,2025-02-26 12:24:52,6,3,10,3,5,0,1,0,0,,1000,5664137
Onbekend,Tampakis Maxos,5617393,16,Hellas,Man,1650,Sprinters,16,1,15,165,68,2025-02-26 12:59:05,15,5,1,10,1,7,2,8,7,,0,5617393
Onbekend,Estyaji Ucup,5581283,17,Indonesia,Man,3070,Sprinters,20,2,15,172,80,2025-02-26 13:01:34,16,1,2,11,12,2,2,6,7,,12000,5581283
Marathon,Marchand Esteban,5102993,31,France,Man,60650,Langeafstandslopers,20,15,19,191,59,2025-02-26 13:07:29,19,1,20,19,0,0,0,15,11,,8000,5102993
Onbekend,Bäcker Ebba,5562947,17,Sverige,Vrouw,5340,Snelwandelaars,20,2,17,178,85,2025-02-26 13:24:43,16,0,14,0,3,2,3,7,8,,0,5562947
Kogelstoten,Sandoval Sabela,5426400,21,España,Vrouw,10040,Werpers,20,3,17,170,69,2025-02-26 13:25:26,17,16,2,2,1,1,10,6,10,,3000,5426400
Tienkamp,Domke Henning,5320651,24,Deutschland,Man,9230,Meerkampers,20,5,16,170,72,2025-02-26 13:41:45,11,14,3,3,13,3,3,9,9,,7000,5320651
Vijfkamp Mannen,Kiel Filip,5291409,25,Deutschland,Man,14280,Meerkampers,20,5,16,184,82,2025-02-26 13:41:50,17,17,0,3,12,3,3,9,7,,1000,5291409
Zevenkamp,Ahokas Tuuli,5284019,25,Suomi,Vrouw,16100,Meerkampers,20,6,20,169,57,2025-02-26 13:41:56,20,15,3,5,16,2,0,10,7,,6000,5284019
Vijfkamp Vrouwen,Kabel Marleen,5272125,25,Deutschland,Vrouw,5450,Meerkampers,20,5,18,172,74,2025-02-26 13:42:02,14,12,2,11,9,6,1,10,8,,17000,5272125
Onbekend,Góis Itelvina,5603535,17,Portugal,Vrouw,1740,Langeafstandslopers,20,1,13,176,80,2025-02-26 13:45:35,20,3,10,3,3,2,3,3,7,,0,5603535
Onbekend,Crespo Ângelo,5656404,17,Portugal,Man,1580,Werpers,13,1,14,171,75,2025-02-26 13:45:44,17,3,2,1,3,1,10,6,8,,0,5656404
Onbekend,Vila Aquilino,5565396,17,Portugal,Man,2540,Langeafstandslopers,20,1,14,181,87,2025-02-26 13:45:54,17,2,9,3,3,1,11,9,6,,1000,5565396
Hinkstapspringen,Clawson Gabriele,4871053,36,Switzerland,Man,49640,Springers,20,18,12,177,61,2025-02-26 14:19:37,19,0,0,0,18,19,0,8,12,,0,4871053
10.000 meter,Filevska Monika,5372336,23,FYR Makedonija,Vrouw,17450,Langeafstandslopers,20,6,14,173,71,2025-02-26 14:20:52,18,2,18,5,2,2,3,8,8,,1000,5372336
Verspringen,Urbina Lidia,5098986,30,España,Vrouw,17490,Springers,20,11,16,176,62,2025-02-26 14:21:34,19,8,1,0,11,17,0,8,9,,0,5098986
Discuswerpen,Cantella Emma,5489263,21,Italia,Vrouw,3300,Werpers,20,3,14,181,75,2025-02-26 14:23:09,14,10,0,2,3,2,8,9,11,,0,5489263
Onbekend,Baillie Gary,5590331,18,Great Britain,Man,830,Sprinters,15,2,12,173,77,2025-02-26 14:27:26,10,6,1,8,7,1,1,8,5,,0,5590331
Onbekend,Sole Jayden,5590335,22,Great Britain,Man,1810,Sprinters,20,1,12,188,89,2025-02-26 14:27:32,19,3,1,11,2,1,1,5,7,,0,5590335
Onbekend,Beaumont Angus,5590345,23,Great Britain,Man,1180,Middenafstandslopers,16,2,11,175,85,2025-02-26 14:28:01,16,3,9,7,3,3,0,8,4,,0,5590345
Onbekend,Cozzarini Pippo,5628045,17,Italia,Man,850,Middenafstandslopers,20,1,13,171,75,2025-02-26 14:28:01,18,3,6,3,2,2,1,8,5,,0,5628045
Onbekend,Keay Leon,5590351,19,Great Britain,Man,1860,Langeafstandslopers,20,2,16,177,71,2025-02-26 14:28:20,16,2,10,3,2,1,1,9,9,,0,5590351
Onbekend,McGovern Mia,5590355,17,Great Britain,Vrouw,1700,Langeafstandslopers,20,2,15,183,81,2025-02-26 14:28:44,18,2,9,7,3,2,2,9,5,,0,5590355
Onbekend,Sturrock Martin,5590368,26,Great Britain,Man,1920,Springers,11,2,11,185,94,2025-02-26 14:29:19,13,3,2,5,7,8,2,8,10,,0,5590368
Onbekend,O'Neil Mason,5590375,21,Great Britain,Man,2120,Werpers,20,2,14,172,67,2025-02-26 14:29:46,20,4,1,2,3,2,10,4,9,,0,5590375
Onbekend,Thomas Christopher,5590360,28,Great Britain,Man,2390,Snelwandelaars,18,2,15,190,92,2025-02-26 14:30:03,16,3,8,7,3,1,2,11,9,,0,5590360
Onbekend,Kirkwood Maddison,5590379,26,Great Britain,Vrouw,1630,Werpers,20,2,11,172,68,2025-02-26 14:32:51,19,7,0,2,2,2,9,5,8,,0,5590379
Onbekend,Salierno Teresa,5659937,17,Italia,Vrouw,1460,Meerkampers,16,1,14,162,55,2025-02-26 14:32:58,19,3,4,3,2,8,6,8,8,,1000,5659937
Onbekend,Spiers Shannon,5590380,16,Great Britain,Vrouw,1100,Werpers,20,2,14,160,65,2025-02-26 14:33:17,11,8,1,3,4,2,7,8,9,,1000,5590380
Onbekend,Castelnuovo Santo,5578543,19,Italia,Man,1500,Snelwandelaars,20,1,11,194,95,2025-02-26 14:37:04,20,3,5,1,7,2,2,7,8,,0,5578543
Onbekend,Pietrangelo Graziano,5634572,17,Italia,Man,500,Snelwandelaars,17,1,15,180,82,2025-02-26 14:37:13,16,3,2,3,3,0,3,6,7,,0,5634572
Onbekend,Holmes Zak,5590386,19,Great Britain,Man,1050,Meerkampers,19,2,14,184,85,2025-02-26 14:51:42,8,3,2,6,4,10,3,7,7,,0,5590386
400 meter horden,Ammassari Tony,5455497,21,Italia,Man,4420,Sprinters,20,4,19,181,86,2025-02-26 16:14:37,13,4,5,12,3,0,3,11,10,,0,5455497
400 meter,Pallotta Valter,5439109,21,Italia,Man,3880,Sprinters,20,5,16,181,85,2025-02-26 16:14:48,11,9,2,12,3,1,3,9,9,,0,5439109
100 meter horden,Del Re Rossella,5446308,21,Italia,Vrouw,6260,Sprinters,20,5,17,167,68,2025-02-26 16:14:55,12,4,1,14,3,2,3,10,10,,1000,5446308
3.000 meter steeplechase,Trivella Ivano,5409261,21,Italia,Man,4260,Middenafstandslopers,20,4,18,180,95,2025-02-26 16:15:02,10,3,11,9,5,2,1,10,11,,1000,5409261
3.000 meter steeplechase,Bottoni Beatrice,5467986,20,Italia,Vrouw,2710,Middenafstandslopers,20,3,17,175,81,2025-02-26 16:15:07,11,5,11,4,3,2,3,10,8,,0,5467986
Marathon,Mappelli Luca,5430187,21,Italia,Man,5560,Langeafstandslopers,20,4,18,181,79,2025-02-26 16:15:23,19,2,13,9,6,0,2,9,9,,14000,5430187
5.000 meter,Rollato Ilenia,5456204,21,Italia,Vrouw,3100,Langeafstandslopers,20,4,18,171,72,2025-02-26 16:15:28,12,3,12,8,2,1,3,10,8,,0,5456204
50 km snelwandelen,Pezzetta Federico,5431505,21,Italia,Man,24070,Snelwandelaars,20,4,17,181,78,2025-02-26 16:15:33,20,2,19,2,3,4,2,10,10,,2000,5431505
50 km snelwandelen,Monteleone Pamela,5426040,21,Italia,Vrouw,5300,Snelwandelaars,20,4,18,181,64,2025-02-26 16:15:40,8,1,14,2,1,3,2,10,9,,0,5426040
10 km snelwandelen,Stanzani Michela,5375889,23,Italia,Vrouw,4390,Snelwandelaars,20,5,19,166,65,2025-02-26 16:15:54,9,3,7,8,11,2,1,11,9,,0,5375889
Discuswerpen,Deste Piera,5437835,22,Italia,Vrouw,3690,Werpers,20,5,19,171,71,2025-02-26 16:16:00,7,10,3,2,1,3,10,11,9,,0,5437835
Kogelstoten,Gasparutti Angelica,5492009,21,Italia,Vrouw,2870,Werpers,20,3,16,179,78,2025-02-26 16:16:09,10,11,2,0,3,1,10,8,8,,0,5492009
Kogelslingeren,Selman Orietta,5382896,22,Italia,Vrouw,3930,Werpers,20,6,19,179,83,2025-02-26 16:16:17,11,10,3,2,9,2,12,9,9,,0,5382896
Zevenkamp,Ramundo Brigitta,5434942,21,Italia,Vrouw,3360,Meerkampers,20,4,18,171,74,2025-02-26 16:16:26,14,5,3,9,4,6,10,9,11,,0,5434942
Hoogspringen,Barbieri Elisabetta,5215172,27,Italia,Vrouw,18560,Springers,20,7,18,182,65,2025-02-26 16:19:44,19,2,2,2,7,18,0,11,11,,9000,5215172
10.000 meter,Persello Cristoforo,5018274,33,Italia,Man,14300,Langeafstandslopers,18,11,16,196,72,2025-02-26 16:20:59,16,0,14,15,0,0,0,12,9,,9000,5018274
Onbekend,Lewczuk Zbigniew,5627870,15,Polska,Man,1710,Sprinters,17,1,18,177,79,2025-02-26 16:24:10,9,0,4,11,1,3,7,7,7,,9000,5627870
Speerwerpen,Struška Luděk,5389001,22,Česká republika,Man,3090,Werpers,20,5,17,188,100,2025-02-26 16:26:57,18,5,4,8,4,0,10,9,9,,1000,5389001
Onbekend,Peltier Lina,5598293,17,France,Vrouw,3730,Snelwandelaars,20,1,17,172,74,2025-02-26 16:27:18,19,3,13,2,3,3,3,8,7,,1000,5598293
Onbekend,Agramunt Jesús María,5638255,17,España,Man,1420,Sprinters,18,1,17,179,84,2025-02-26 16:27:50,12,2,6,8,3,2,2,9,9,,0,5638255
1.500 meter,Wayman Niamh,5442793,20,Great Britain,Vrouw,2830,Middenafstandslopers,20,4,16,171,81,2025-02-26 16:28:48,15,0,11,11,3,3,2,7,7,,0,5442793
1.500 meter,Pickering Harvey,5424905,22,Great Britain,Man,4540,Middenafstandslopers,20,4,17,174,81,2025-02-26 16:30:08,17,3,12,12,3,2,2,9,6,,11000,5424905
Vijfkamp Vrouwen,Kusto Celina,5506053,20,Polska,Vrouw,2020,Meerkampers,20,3,17,179,75,2025-02-26 16:31:59,6,9,1,10,3,2,2,9,8,,0,5506053
Onbekend,Kolasińska Patrycja,5598961,22,Polska,Vrouw,3430,Springers,20,2,16,171,65,2025-02-26 16:33:36,8,1,0,10,2,11,1,7,11,,0,5598961
200 meter,Alves Dominique,5182477,28,France,Man,22440,Sprinters,20,10,15,177,78,2025-02-26 16:40:18,14,12,1,19,6,3,1,10,9,,22000,5182477
Onbekend,Hammadou Samiah,5601425,17,Al-Jazā'ir,Vrouw,1790,Sprinters,20,2,16,161,61,2025-02-26 16:48:18,19,7,2,10,3,2,3,8,5,,1000,5601425
Onbekend,Puppin Oliviero,5562284,17,Italia,Man,2730,Middenafstandslopers,20,2,16,169,84,2025-02-26 16:48:31,12,0,12,6,0,2,2,6,8,,0,5562284
Onbekend,Fantauzzi Dario,5584914,17,Italia,Man,3170,Snelwandelaars,20,2,16,173,84,2025-02-26 16:48:54,16,1,13,1,4,6,3,6,8,,0,5584914
Onbekend,Pirlo Glory,5607635,17,Italia,Vrouw,2370,Snelwandelaars,20,2,18,171,76,2025-02-26 16:49:12,15,2,12,3,8,2,2,4,6,,0,5607635
Onbekend,Scatena Carmine,5556073,17,Italia,Man,2450,Springers,20,2,16,184,90,2025-02-26 16:49:36,14,9,3,1,8,11,1,8,8,,5000,5556073
Onbekend,Delussu Katia,5613681,17,Italia,Vrouw,1500,Werpers,20,2,16,177,72,2025-02-26 16:49:45,14,8,1,5,3,0,11,6,5,,0,5613681
Onbekend,Gafa’ Nicoletta,5590798,17,Italia,Vrouw,1850,Werpers,20,1,17,176,82,2025-02-26 16:50:04,16,11,2,0,1,2,5,6,8,,0,5590798
100 meter,Fagan Kane,5469504,25,Great Britain,Man,2570,Sprinters,19,4,18,187,83,2025-02-26 16:57:14,11,6,2,10,2,2,1,9,10,,1000,5469504
3.000 meter steeplechase,Bojtor Renáta,5362739,23,Magyarország,Vrouw,4130,Middenafstandslopers,20,4,15,182,82,2025-02-26 17:27:44,18,4,9,13,3,2,3,8,8,,0,5362739
Hoogspringen,Lázzaro Ximena,5243948,27,Argentina,Vrouw,12410,Springers,20,8,17,186,69,2025-02-26 17:28:19,15,1,1,2,10,16,2,10,10,,3000,5243948
Polsstokhoogspringen,Villarreal Helena,5107772,30,Argentina,Vrouw,32130,Springers,20,12,15,178,56,2025-02-26 17:29:28,20,0,0,0,17,19,1,8,10,,5000,5107772
Kogelstoten,Reggi Fernando,4968409,33,Argentina,Man,26030,Werpers,20,15,17,185,92,2025-02-26 17:30:54,16,18,4,0,0,0,15,8,9,,1000,4968409
Onbekend,Zanettini Alighiero,5553511,17,Italia,Man,3020,Werpers,20,2,16,188,98,2025-02-26 17:47:54,8,12,3,2,1,3,9,8,8,,9999,5553511
Onbekend,Siddhanta Jayant,5576070,17,India,Man,2230,Sprinters,20,2,16,182,94,2025-02-26 17:49:16,14,10,1,11,3,1,2,6,6,,14000,5576070
Onbekend,Siljanoski Dobri,5572746,17,FYR Makedonija,Man,3080,Sprinters,19,2,15,177,87,2025-02-26 17:49:38,8,0,2,12,10,4,2,5,7,,0,5572746
Onbekend,Sellers Patricia,5607736,17,United States,Vrouw,2430,Sprinters,19,2,14,168,65,2025-02-26 17:50:26,10,8,2,12,2,1,2,6,6,,0,5607736
Onbekend,Augustinus Tamara,5546651,17,Nederland,Vrouw,3560,Middenafstandslopers,20,2,17,172,77,2025-02-26 17:50:46,13,6,9,13,3,1,1,7,8,,19000,5546651
Onbekend,Noor Perwira,5569505,17,Malaysia,Man,3800,Snelwandelaars,20,2,17,189,94,2025-02-26 17:56:53,16,3,13,3,3,5,2,7,6,,0,5569505
Onbekend,Moscardini Benjamin,5568191,17,Great Britain,Man,2520,Sprinters,20,2,16,188,98,2025-02-26 17:57:15,12,4,0,11,8,2,0,9,7,,9999,5568191
Onbekend,Saulino Pasquale,5503853,18,Italia,Man,5060,Sprinters,20,3,17,175,73,2025-02-26 17:57:30,9,4,2,14,7,3,1,8,8,,0,5503853
Onbekend,Liewald Beatrix,5510327,18,Deutschland,Vrouw,25840,Snelwandelaars,20,2,16,163,66,2025-02-26 17:59:25,20,3,20,1,3,2,9,7,8,,14000,5510327
Hoogspringen,Gorela Giacomo,5508477,18,Italia,Man,5950,Springers,20,3,17,175,74,2025-02-26 18:00:08,12,1,3,2,8,15,1,7,6,,0,5508477
Zevenkamp,Di Serafino Sabrina,5521173,18,Italia,Vrouw,2910,Meerkampers,20,3,17,178,79,2025-02-26 18:02:54,9,11,3,11,8,2,1,8,6,,9999,5521173
Zevenkamp,Vandenberghe Yasmina,5571622,18,België,Vrouw,1660,Meerkampers,17,2,16,187,87,2025-02-26 18:03:16,9,9,3,9,7,3,1,9,7,,0,5571622
Onbekend,Bueno Araceli,5584561,17,Uruguay,Vrouw,2950,Snelwandelaars,20,3,17,178,77,2025-02-26 18:19:36,18,3,12,2,3,1,7,6,8,,1000,5584561
Onbekend,Nestori Giovanni,5624942,17,Italia,Man,710,Sprinters,19,1,14,183,85,2025-02-26 18:33:13,15,3,2,9,3,1,2,6,4,,0,5624942
Onbekend,Canton Olivia,5558335,17,Italia,Vrouw,3190,Springers,20,2,18,168,73,2025-02-26 18:33:44,13,3,3,9,2,12,0,7,6,,0,5558335
Onbekend,Ibermajerová Alexandra,5608751,17,Česká republika,Vrouw,1940,Sprinters,20,2,14,161,64,2025-02-26 18:38:20,15,4,2,11,2,3,1,9,6,,0,5608751
Onbekend,Muzzolon Sabrina,5644989,17,Italia,Vrouw,1690,Sprinters,12,1,14,171,63,2025-02-26 18:38:38,13,0,3,11,6,1,3,8,3,,0,5644989
Onbekend,Shaw Laura,5551794,17,Great Britain,Vrouw,1350,Meerkampers,19,2,14,166,69,2025-02-26 18:38:58,10,7,1,11,3,0,4,6,4,,0,5551794
Onbekend,Carbajal Ícaro,5574829,17,España,Man,1230,Middenafstandslopers,19,2,14,170,81,2025-02-26 18:39:07,7,2,10,8,1,2,2,4,6,,0,5574829
Onbekend,Alfaro Arkaitz,5641612,17,España,Man,1600,Snelwandelaars,17,1,14,172,73,2025-02-26 18:40:24,7,3,10,2,3,3,1,9,8,,0,5641612
Onbekend,Andrijašević Andro,5629885,17,Hrvatska,Man,2270,Sprinters,20,1,16,180,83,2025-02-26 18:40:25,16,1,1,9,10,2,1,9,6,,0,5629885
Onbekend,Battistelli Nicolò,5616483,17,Italia,Man,1590,Springers,20,2,14,183,88,2025-02-26 18:40:39,15,1,1,10,2,1,0,5,9,,0,5616483
Onbekend,Osovych Karl,5639104,17,Österreich,Man,1670,Springers,16,1,14,174,75,2025-02-26 18:41:00,17,7,0,1,1,11,3,5,5,,0,5639104
Onbekend,Pomposo Andrea,5565203,16,Italia,Man,1720,Springers,20,2,14,175,85,2025-02-26 18:41:11,9,1,1,3,1,10,9,7,7,,0,5565203
Onbekend,Ramos Firmina,5636875,17,Portugal,Vrouw,480,Springers,14,1,14,158,57,2025-02-26 18:41:32,7,3,2,1,2,8,1,7,6,,0,5636875
Onbekend,Rojas Makayla,5571087,17,United States,Vrouw,380,Springers,18,3,13,174,74,2025-02-26 18:41:40,10,1,1,1,1,8,2,5,5,,0,5571087
Onbekend,Amâncio Lauro,5638176,17,Brasil,Man,790,Werpers,17,1,14,171,74,2025-02-26 18:41:47,15,2,1,2,2,3,9,4,4,,0,5638176
Onbekend,Monzón Donato,5644326,15,España,Man,1680,Werpers,20,1,14,167,69,2025-02-26 18:42:09,18,3,2,3,9,2,8,8,7,,9999,5644326
Onbekend,Nieto Leonardo,5590437,17,España,Man,960,Werpers,20,2,14,179,86,2025-02-26 18:42:27,18,3,2,3,1,2,7,7,7,,0,5590437
Onbekend,Ortis Ezio,5578803,17,Italia,Man,850,Werpers,20,1,14,188,99,2025-02-26 18:42:37,12,7,1,1,5,1,9,5,7,,0,5578803
Onbekend,Brustia Alessia,5656420,17,Italia,Vrouw,540,Werpers,18,1,15,164,66,2025-02-26 18:42:48,10,9,3,0,1,2,3,4,4,,0,5656420
Onbekend,Conte Melissa,5617895,17,Italia,Vrouw,660,Werpers,18,1,13,180,75,2025-02-26 18:42:54,17,2,1,7,3,2,5,5,7,,0,5617895
Onbekend,Nobre Idalina,5641777,17,Portugal,Vrouw,1220,Werpers,14,1,13,175,73,2025-02-26 18:43:02,14,2,3,9,1,3,10,4,5,,0,5641777
Onbekend,Oude Monninkhof Aniek,5562356,17,Nederland,Vrouw,2390,Meerkampers,20,2,15,168,75,2025-02-26 18:45:03,12,4,2,12,2,6,4,6,3,,0,5562356
Tienkamp,Vītols Ivo,5021848,34,Latvija,Man,8540,Meerkampers,19,14,13,187,69,2025-02-26 18:45:24,20,13,2,10,11,0,0,7,7,,0,5021848
Onbekend,Giordano Lucio,5630637,17,Italia,Man,1850,Meerkampers,16,1,14,176,80,2025-02-26 18:46:05,19,2,2,10,1,2,2,9,4,,0,5630637
400 meter horden,Leduc Jason,5199480,28,France,Man,22980,Sprinters,20,8,19,174,68,2025-02-26 18:54:10,18,6,2,18,14,2,0,9,9,,24000,5199480
400 meter,Guaita Roque,5175116,29,España,Man,24450,Sprinters,20,8,18,190,81,2025-02-26 18:56:07,14,14,1,18,2,2,2,10,10,,0,5175116
1.500 meter,Muller Flavie,5267306,26,France,Vrouw,11420,Middenafstandslopers,20,7,18,181,62,2025-02-26 19:02:31,9,1,15,14,3,1,2,10,8,,4000,5267306
Speerwerpen,Romeo Patricia,5007513,32,France,Vrouw,27490,Werpers,20,11,18,179,67,2025-02-26 19:03:39,15,17,1,1,0,1,17,11,10,,19000,5007513
Hoogspringen,Paillard Albane,4945172,34,France,Vrouw,36290,Springers,20,13,16,179,74,2025-02-26 19:04:42,18,0,0,0,16,19,0,8,10,,5000,4945172
Hinkstapspringen,Chene Fares,5106266,32,France,Man,15350,Springers,20,10,18,169,55,2025-02-26 19:05:13,11,1,0,0,11,17,0,9,10,,0,5106266
10 km snelwandelen,Grosjean Patrick,5034371,32,France,Man,16100,Snelwandelaars,17,11,18,183,79,2025-02-26 19:06:01,14,0,17,0,12,0,1,11,10,,0,5034371
Onbekend,Leriche Mélissa,5585336,17,France,Vrouw,2290,Snelwandelaars,16,1,14,167,68,2025-02-26 19:06:24,16,2,11,4,6,3,9,6,7,,1000,5585336
Onbekend,Leon Yohann,5559916,17,France,Man,2090,Langeafstandslopers,20,1,14,173,87,2025-02-26 19:06:40,17,1,11,8,3,1,5,4,6,,0,5559916
Onbekend,Simonnet Nina,5543041,17,France,Vrouw,1350,Meerkampers,20,2,14,165,68,2025-02-26 19:06:55,10,6,1,10,1,7,6,7,8,,0,5543041
Onbekend,Tarantini Leo,5537218,17,Italia,Man,3730,Springers,20,1,14,193,104,2025-02-26 19:27:43,20,2,3,9,7,12,2,7,7,,34000,5537218
Onbekend,Vallejo Celso,5579203,17,España,Man,4420,Sprinters,20,2,19,183,89,2025-02-26 19:32:30,20,3,3,8,13,1,4,7,6,,0,5579203
100 meter,Berga Reyes,5392684,24,España,Vrouw,7640,Sprinters,20,5,16,173,70,2025-02-26 19:43:09,13,4,3,15,3,1,1,11,9,,5000,5392684
1.500 meter,De Sousa Catherine,5255635,26,France,Vrouw,8340,Middenafstandslopers,19,6,16,185,74,2025-02-26 19:43:40,7,2,13,14,3,3,3,9,10,,0,5255635
5.000 meter,Ferluga Arturo,5295075,25,Italia,Man,5790,Langeafstandslopers,19,6,17,183,77,2025-02-26 19:44:32,17,8,11,12,6,2,0,10,10,,5000,5295075
Hinkstapspringen,Delaeter Gladys,5289688,27,France,Vrouw,8880,Springers,20,7,15,178,76,2025-02-26 19:45:38,11,9,3,5,2,14,3,12,10,,0,5289688
Vijfkamp Mannen,Batinic Mihajlo,5541783,18,Bosna i Hercegovina,Man,1960,Meerkampers,20,3,18,183,85,2025-02-26 19:48:12,17,3,1,10,5,5,7,7,8,,6000,5541783
