Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
10 km snelwandelen,Lamesta Clizia,4867108,38,Italia,Vrouw,36210,Snelwandelaars,17,13,15,174,58,True,19,0,20,0,5,0,0,9,14
Marathon,Sherwood Henry,5078821,31,Great Britain,Man,10600,Langeafstandslopers,19,10,18,167,73,True,12,1,16,10,1,2,1,8,9
Onbekend,Mulas Elvio,5538893,19,Italia,Man,1950,Snelwandelaars,20,2,13,188,92,True,19,0,10,3,8,2,3,8,6
Onbekend,Giavedoni Silvano,5577731,19,Italia,Man,600,Springers,20,1,11,178,83,True,14,2,5,3,6,7,3,7,7
Onbekend,Cavallucci Marcella,5606362,18,Italia,Vrouw,2980,Sprinters,20,1,15,178,80,True,13,10,1,12,4,1,3,9,6
5.000 meter,Świerczyńska Kamila,5356826,24,Polska,Vrouw,12070,Langeafstandslopers,20,6,17,171,71,True,19,2,16,12,3,0,1,11,10
10.000 meter,Kerz Mila,5339556,27,Deutschland,Vrouw,13780,Langeafstandslopers,20,6,19,164,55,True,16,1,17,12,4,3,3,10,9
Onbekend,Hart Sophia,5539013,18,United States,Vrouw,2060,Springers,20,1,15,171,78,True,17,2,2,1,10,10,3,7,6
Onbekend,Pruitt Sebastian,5542399,18,United States,Man,6410,Springers,20,2,15,170,80,True,19,4,3,2,14,9,3,6,7
Onbekend,Marinucci Betta,5551079,18,Italia,Vrouw,4170,Langeafstandslopers,20,2,15,172,78,True,8,3,14,8,3,3,1,7,7
Onbekend,Carpani Vito,5581473,18,Italia,Man,5280,Snelwandelaars,20,1,14,183,91,True,13,1,15,3,1,1,2,6,5
Onbekend,Semeraro Delfina,5555818,18,Italia,Vrouw,9840,Snelwandelaars,20,2,15,180,82,True,18,2,16,3,2,3,2,9,8
Zevenkamp,Rovaris Orietta,5536161,19,Italia,Vrouw,1570,Meerkampers,20,2,19,180,82,True,18,3,3,5,5,7,7,7,9
Onbekend,Espejo Nora,5554465,19,España,Vrouw,3470,Snelwandelaars,20,1,14,174,78,True,20,3,7,3,12,2,1,5,7
400 meter,Kuusk Evelin,5579928,18,Eesti,Vrouw,1110,Sprinters,20,2,18,169,73,True,12,8,2,9,6,2,4,6,8
Vijfkamp Vrouwen,Afinogenova Snezhana,5585815,18,Rossiya,Vrouw,2290,Meerkampers,20,2,18,166,70,True,10,1,2,10,2,6,11,7,4
Onbekend,Rissone Luciano,5606556,18,Italia,Man,2620,Langeafstandslopers,20,1,15,176,79,True,11,1,12,3,2,1,2,8,6
Marathon,Brás Firmina,5383724,24,Portugal,Vrouw,9140,Langeafstandslopers,20,6,19,168,63,True,17,2,15,2,0,2,1,10,10
110 meter horden,Hebert Evan,5454983,22,United States,Man,6700,Sprinters,20,4,18,163,74,True,11,4,2,15,11,3,1,8,7
100 meter horden,Hernandez Emily,5458469,22,United States,Vrouw,9120,Sprinters,20,3,18,173,71,True,20,1,1,16,10,1,2,6,7
100 meter,Remington Tiffany,5445664,22,United States,Vrouw,5770,Sprinters,20,4,18,178,75,True,20,9,3,14,2,3,4,7,8
400 meter horden,Rose Mariah,5411401,22,United States,Vrouw,9690,Sprinters,20,4,16,184,90,True,18,7,2,16,8,4,1,10,8
800 meter,LaBorde Raymond,5431979,22,United States,Man,8460,Middenafstandslopers,20,4,17,186,90,True,10,1,10,15,2,1,1,8,9
1.500 meter,Montgomery Marissa,5422501,22,United States,Vrouw,3620,Middenafstandslopers,20,4,19,165,71,True,11,1,13,10,1,5,2,8,7
Onbekend,Ventilii Gelsomina,5586399,18,Italia,Vrouw,1930,Meerkampers,20,1,14,177,79,True,19,7,1,9,7,2,3,6,8
10.000 meter,Ochoa Cassandra,5453440,22,United States,Vrouw,6630,Langeafstandslopers,20,3,17,171,65,True,14,3,15,9,1,1,2,7,9
20 km snelwandelen,Ferraz Ernesto,5432988,22,Portugal,Man,6830,Snelwandelaars,20,3,18,175,88,True,15,3,15,2,9,0,5,8,9
50 km snelwandelen,Raide Illimar,5439507,22,Eesti,Man,8100,Snelwandelaars,20,4,19,186,90,True,14,1,16,1,1,3,3,8,7
Discuswerpen,Acevedo Sophia,5467866,22,United States,Vrouw,4070,Werpers,20,4,19,179,77,True,19,13,3,2,2,3,9,7,9
Tienkamp,Zamora Ethan,5459596,22,United States,Man,2300,Meerkampers,20,3,17,178,81,True,18,11,2,6,7,3,6,8,6
Vijfkamp Vrouwen,McCoy Amelia,5440930,22,United States,Vrouw,4360,Meerkampers,20,4,18,180,80,True,16,10,3,12,7,2,1,9,7
Hinkstapspringen,Cetuvel Nádia,5229673,29,Portugal,Vrouw,23540,Springers,20,9,18,182,74,True,16,3,1,3,17,17,2,8,9
100 meter,Altieri Nando,5606442,18,Italia,Man,1900,Sprinters,20,2,18,176,78,True,17,4,2,10,1,1,1,8,8
Discuswerpen,Scheck Anni,4964415,34,Deutschland,Vrouw,9680,Werpers,20,10,18,183,78,True,20,15,3,0,4,0,13,9,8
Onbekend,van Buren Marit,5603090,18,Nederland,Vrouw,1450,Springers,20,1,16,164,64,True,12,3,3,2,7,10,5,6,8
5.000 meter,van der Bilt Roosje,5588535,18,Nederland,Vrouw,3300,Langeafstandslopers,20,2,20,172,71,True,20,2,12,2,3,3,2,5,9
Onbekend,van Loon Imke,5520175,19,Nederland,Vrouw,1130,Werpers,20,3,19,180,83,True,13,8,2,4,1,1,8,8,6
Polsstokhoogspringen,Belkaid Fatima,5464985,22,Al-Maghrib,Vrouw,2410,Springers,20,4,19,176,68,True,17,2,1,1,9,8,3,8,10
Kogelstoten,Cavazzoni Cosimo,5419382,22,Italia,Man,28840,Werpers,20,4,20,176,85,True,18,20,3,0,3,3,5,11,7
400 meter,van der Lee Patrick,5420098,23,Nederland,Man,4180,Sprinters,20,3,19,187,85,True,19,7,0,13,5,3,3,8,5
Onbekend,Fogaça Samuel,5571204,18,Portugal,Man,1510,Sprinters,20,2,15,188,91,True,7,3,6,11,2,0,4,8,7
Onbekend,Abrunhosa Severino,5581369,18,Portugal,Man,640,Springers,20,1,15,173,83,True,9,1,3,5,4,8,3,7,6
400 meter horden,Voksakis Triantafilos,5248973,27,Hellas,Man,5860,Sprinters,20,6,17,170,71,True,18,7,3,13,2,2,3,11,10
Onbekend,Semedo César,5640812,18,Portugal,Man,970,Zonder specialiteit,16,1,15,184,89,True,19,1,7,7,2,2,1,0,0
Onbekend,Alvim Ana Cristina,5643586,18,Portugal,Vrouw,100,Zonder specialiteit,18,1,15,183,81,True,10,2,2,5,2,1,3,0,0
Speerwerpen,Amici Emanuel,5053485,32,Italia,Man,21290,Werpers,20,13,14,190,87,True,17,14,1,2,4,0,18,10,10
50 km snelwandelen,Muros Cecilia,5079515,33,España,Vrouw,20580,Snelwandelaars,20,8,17,178,71,True,19,1,18,2,2,0,0,12,11
1.500 meter,Pizarro Amancio,5282237,28,España,Man,14860,Middenafstandslopers,20,7,18,178,76,True,17,3,14,5,3,2,1,13,14
5.000 meter,Mateo Andrea,4871108,38,España,Vrouw,10930,Langeafstandslopers,16,11,15,176,62,True,18,0,16,5,0,0,0,9,9
10 km snelwandelen,Etxeberría Erlantz,5204467,30,España,Man,11000,Snelwandelaars,20,7,16,162,62,True,19,0,16,2,5,2,0,10,8
Verspringen,Jadraque Urtzi,5006738,34,España,Man,10240,Springers,19,12,20,177,69,True,17,0,0,2,5,14,0,11,12
Verspringen,Pasabán Raquel,5189568,29,España,Vrouw,17160,Springers,20,9,16,174,69,True,17,2,1,1,4,16,0,12,13
Vijfkamp Mannen,Zamudio Benito,5194044,31,España,Man,3720,Meerkampers,20,8,16,172,61,True,20,11,2,9,3,7,5,10,8
Vijfkamp Vrouwen,Escolano Coral,5167542,30,España,Vrouw,3520,Meerkampers,20,8,15,163,59,True,16,10,7,10,2,4,10,8,8
10 km snelwandelen,van Bree Jurre,5111140,31,Nederland,Man,6240,Snelwandelaars,20,7,16,184,88,True,18,0,12,0,5,0,0,11,11
Onbekend,Pagavino Armando,5511261,19,Italia,Man,2290,Werpers,20,2,18,184,88,True,6,10,3,2,2,1,10,9,7
Vijfkamp Vrouwen,Mastroianni Marilena,4983162,34,Italia,Vrouw,7940,Meerkampers,20,9,18,182,71,True,18,15,8,7,1,5,5,10,8
Onbekend,Celotto Giannina,5585384,18,Italia,Vrouw,1880,Sprinters,18,2,18,177,76,True,8,1,6,12,1,3,5,5,4
10.000 meter,Cotini Ivana,4964245,34,Italia,Vrouw,26260,Langeafstandslopers,20,13,16,176,55,True,17,0,17,16,0,0,0,11,11
Speerwerpen,Beier Detlev,5187194,30,Deutschland,Man,10960,Werpers,20,8,16,176,70,True,18,11,2,0,4,5,14,11,13
Onbekend,Zulaica Bieito,5508112,20,España,Man,600,Langeafstandslopers,19,2,19,186,98,True,10,2,6,4,1,1,1,3,8
20 km snelwandelen,Lorenzo Julene,4721083,41,España,Vrouw,35620,Snelwandelaars,16,16,18,176,61,True,19,0,20,0,0,0,0,9,13
Onbekend,Haidane Ambrogia,5548829,18,Italia,Vrouw,1540,Werpers,19,2,14,179,81,True,6,10,2,1,3,2,9,6,6
800 meter,Borges Isabel,5364916,26,España,Vrouw,9900,Middenafstandslopers,20,5,17,178,68,True,20,3,9,13,2,1,3,12,12
3.000 meter steeplechase,Hawthorne Freya,5495139,20,Great Britain,Vrouw,2620,Middenafstandslopers,20,4,16,170,78,True,10,2,10,9,7,1,1,10,9
Onbekend,Sbragia Sean,5590387,17,Great Britain,Man,1420,Meerkampers,20,2,15,186,91,True,15,2,1,11,6,2,1,6,6
20 km snelwandelen,Stuart Jack,5590359,25,Great Britain,Man,2730,Snelwandelaars,20,2,15,180,83,True,16,2,10,3,3,1,1,11,6
Vijfkamp Vrouwen,Arango Isabel,5579686,18,Colombia,Vrouw,2000,Meerkampers,20,3,16,172,76,True,13,5,2,11,4,0,0,8,6
50 km snelwandelen,Walker Rene,5513280,20,South Africa,Vrouw,4610,Snelwandelaars,20,3,17,166,74,True,17,2,13,1,5,4,3,10,9
20 km snelwandelen,Koreňová Stanislava,5538299,19,Slovensko,Vrouw,4250,Snelwandelaars,20,3,17,166,73,True,18,1,13,4,4,3,2,8,10
Marathon,Neymour Des,5525769,20,Bahamas,Man,3950,Langeafstandslopers,20,4,16,185,91,True,18,2,13,3,1,3,2,6,6
Onbekend,Sinclair Dalton,5602796,18,United States,Man,6920,Langeafstandslopers,14,1,12,184,85,True,19,2,15,2,0,3,3,4,5
Hoogspringen,Bragadóttir Jana,5503932,22,Ísland,Vrouw,2060,Springers,20,3,16,179,73,True,13,2,2,2,2,11,2,5,8
Onbekend,Bueno Angela,5571470,19,Uruguay,Vrouw,1540,Springers,20,2,17,183,83,True,14,2,2,1,10,9,1,5,5
Onbekend,Zamudio Águeda,5652294,18,España,Vrouw,1880,Werpers,19,1,14,154,52,True,19,10,1,0,4,3,9,6,6
Onbekend,Lardiés Hodei,5544543,20,España,Man,2020,Werpers,20,1,11,180,81,True,20,11,4,2,2,0,6,4,4
Onbekend,Gordillo Isaías,5449784,21,España,Man,1170,Meerkampers,20,2,11,182,89,True,14,8,4,5,10,4,1,7,6
Onbekend,Concepción Marimar,5419232,24,España,Vrouw,1360,Meerkampers,20,3,11,162,61,True,9,10,3,3,9,2,4,7,8
Onbekend,Maloney Holly,5570496,18,Great Britain,Vrouw,940,Werpers,19,1,15,167,73,True,7,9,1,0,2,6,8,6,6
Onbekend,Fitchie Robert,5568223,18,Great Britain,Man,1390,Springers,20,2,17,182,91,True,10,3,1,3,7,8,1,8,9
Onbekend,Durie Kayla,5596580,17,Great Britain,Vrouw,640,Sprinters,20,1,16,175,77,True,12,9,2,6,3,0,1,5,7
110 meter horden,Henao Arsenio,4906403,39,España,Man,5050,Sprinters,18,15,15,174,69,True,17,0,0,8,2,0,0,8,8
Vijfkamp Mannen,Lampreave Manex,5038644,33,España,Man,6270,Meerkampers,20,12,11,180,76,True,14,3,1,0,3,1,9,12,11
10 km snelwandelen,Monje Arrate,5208291,31,España,Vrouw,3140,Snelwandelaars,20,5,13,167,59,True,15,0,12,1,2,2,4,8,9
10 km snelwandelen,Sarriegi Abigail,4874567,39,España,Vrouw,10160,Snelwandelaars,16,16,13,172,54,True,18,0,8,3,0,0,0,12,11
10 km snelwandelen,Traba Hugo,5550981,18,España,Man,1530,Snelwandelaars,19,2,16,190,100,True,6,7,10,2,5,1,1,8,8
Onbekend,Davidson Brandon,5550929,19,Jamaica,Man,2690,Sprinters,18,2,18,180,86,True,6,3,6,12,3,2,2,5,9
Onbekend,Day Marlon,5492598,20,Jamaica,Man,5170,Sprinters,20,2,18,190,97,True,8,5,1,14,3,1,3,8,7
Polsstokhoogspringen,Bell Juvenne,5263046,28,Jamaica,Vrouw,14710,Springers,18,9,16,167,62,True,12,3,6,2,8,17,2,10,10
Kogelslingeren,McPhee Ray,5301262,25,Jamaica,Man,8680,Werpers,20,7,16,178,91,True,11,11,4,1,2,1,14,9,11
Verspringen,Symonette Ananda,5115041,31,Jamaica,Vrouw,9810,Springers,20,13,17,187,72,True,14,2,0,4,8,15,1,10,7
Vijfkamp Vrouwen,Dzięcioł Iwona,5322604,26,Polska,Vrouw,4270,Meerkampers,20,5,19,172,65,True,16,8,2,10,3,12,2,9,9
10.000 meter,Karamoula Melaxrini,5536790,20,Hellas,Vrouw,4810,Langeafstandslopers,20,2,19,177,68,True,15,3,14,3,2,0,3,7,8
Onbekend,Tentomas Gabriil,5647404,18,Hellas,Man,1540,Werpers,19,1,14,190,95,True,15,5,3,2,2,3,11,8,5
Onbekend,Heumann Janine,5551430,18,Deutschland,Vrouw,1440,Zonder specialiteit,20,2,15,172,75,True,17,3,0,1,9,10,2,0,0
Onbekend,Muth Bodo,5601080,18,Deutschland,Man,850,Zonder specialiteit,20,1,15,184,86,True,17,9,3,2,2,2,6,0,0
Onbekend,Homuth Ryan,5633709,18,Deutschland,Man,1580,Meerkampers,20,1,14,176,78,True,15,10,9,4,1,3,1,7,5
Onbekend,Lotito Krizia,5627709,18,Italia,Vrouw,2080,Sprinters,20,1,13,177,76,True,11,3,3,12,2,2,2,6,8
Onbekend,Perrone Giuliano,5633621,18,Italia,Man,2270,Langeafstandslopers,17,1,14,164,70,True,11,1,11,2,9,3,1,7,6
Onbekend,Beati Luciana,5639657,18,Italia,Vrouw,1090,Werpers,20,1,13,169,71,True,18,5,2,2,2,1,9,6,6
Onbekend,Mauser Elfi,5624428,17,Deutschland,Vrouw,1360,Meerkampers,20,1,16,156,55,True,18,8,1,4,5,3,2,8,6
Kogelslingeren,Centurelli Christian,5484254,20,Italia,Man,850,Werpers,20,1,16,181,93,True,9,3,3,1,4,2,9,7,8
50 km snelwandelen,Salmerón Isolda,5379949,23,España,Vrouw,31560,Snelwandelaars,20,5,15,186,76,True,20,2,20,2,3,2,2,13,12
400 meter horden,Ridolfo Gabriella,5002817,35,Italia,Vrouw,11770,Sprinters,18,12,16,177,69,True,18,9,0,16,8,0,0,10,7
5.000 meter,Soyer Jean-Paul,5119980,32,France,Man,6590,Langeafstandslopers,20,9,17,179,77,True,14,1,14,8,2,0,1,10,10
Polsstokhoogspringen,Masson Louis,5106272,34,France,Man,7840,Springers,20,9,16,183,84,True,15,3,0,0,15,6,1,10,8
Onbekend,Melillo Celeste,5539414,18,Italia,Man,3670,Springers,20,2,15,194,107,True,14,1,2,0,3,13,3,7,7
Onbekend,Raddi Antonello,5562398,18,Italia,Man,2720,Werpers,20,2,15,166,76,True,17,12,3,3,3,3,8,8,7
Kogelstoten,Harrison Alfred,5211081,30,Jamaica,Man,12140,Werpers,20,11,16,185,78,True,12,13,4,1,0,3,15,11,10
Onbekend,Celades Nàdia,5651472,17,España,Vrouw,1610,Meerkampers,20,1,15,172,72,True,19,3,3,8,1,1,8,8,6
110 meter horden,Thrane Magnus,5185801,34,Danmark,Man,18130,Sprinters,18,12,18,190,70,True,19,7,0,18,6,0,0,8,8
Discuswerpen,Soelberg Bente,4866380,37,Danmark,Vrouw,27710,Werpers,18,17,18,179,64,True,15,18,0,0,0,0,11,8,8
Onbekend,Laurel Bituin,5605700,17,Pilipinas,Vrouw,1200,Sprinters,20,1,15,183,84,True,16,2,0,10,2,1,3,6,7
400 meter,Paeseler Bert,4920527,36,Deutschland,Man,45960,Sprinters,19,16,16,185,69,True,20,15,0,19,0,0,0,16,10
1.500 meter,Altamirano Magtanggol,5532894,21,Pilipinas,Man,1310,Middenafstandslopers,20,2,16,177,69,True,18,3,4,9,3,3,1,7,8
200 meter,Mpirlaki Areti,5277043,27,Hellas,Vrouw,24210,Sprinters,19,6,17,162,54,True,20,6,2,19,5,2,2,11,11
1.500 meter,Imran Adi,5510557,23,Malaysia,Man,2870,Middenafstandslopers,20,4,16,179,67,True,19,2,10,10,2,3,3,9,8
1.500 meter,Abdul Salam Aishah,5527344,20,Malaysia,Vrouw,1700,Middenafstandslopers,20,2,16,158,63,True,18,8,8,5,2,1,2,7,9
1.500 meter,Elorde Lilibeth,5528722,21,Pilipinas,Vrouw,1820,Middenafstandslopers,20,2,13,182,69,True,17,8,10,3,1,1,3,8,5
20 km snelwandelen,Hönlinger Sebastian,5316420,28,Österreich,Man,18140,Snelwandelaars,20,9,15,185,81,True,15,2,18,4,9,0,3,10,12
Marathon,Pekey Khalid,5492783,24,Indonesia,Man,4890,Langeafstandslopers,20,4,18,165,58,True,17,3,12,4,2,1,2,9,11
Onbekend,Hubalde Maricel,5577828,20,Pilipinas,Vrouw,2190,Langeafstandslopers,20,1,16,159,57,True,16,7,11,2,3,2,2,9,6
50 km snelwandelen,Hierba Margarida,5229628,27,España,Vrouw,19680,Snelwandelaars,20,8,19,189,49,True,15,3,18,4,9,3,3,12,10
50 km snelwandelen,Camaso Cherry,5354084,25,Pilipinas,Vrouw,11230,Snelwandelaars,20,6,15,163,57,True,20,2,16,2,2,3,3,10,10
10 km snelwandelen,Hu Eva,5561501,20,Singapore,Vrouw,3180,Snelwandelaars,20,2,17,161,60,True,19,8,12,0,0,3,1,8,7
Hinkstapspringen,Georgitsas Filippos,5188726,30,Hellas,Man,21990,Springers,19,8,17,176,74,True,15,0,2,1,17,16,2,8,11
Onbekend,Roekito Hedi,5599098,19,Indonesia,Man,1980,Springers,20,1,16,162,64,True,19,3,9,2,3,9,3,5,8
Verspringen,Peh Megan,5576462,18,Singapore,Vrouw,2030,Springers,20,2,15,171,79,True,17,1,10,2,2,10,3,7,7
Kogelslingeren,Banal Arvin,5526351,20,Pilipinas,Man,2390,Werpers,20,3,16,168,77,True,20,2,7,2,1,2,8,8,9
Speerwerpen,Fais Yonas,5381233,25,Indonesia,Man,5910,Werpers,20,6,14,169,79,True,19,7,1,3,2,3,12,10,11
Onbekend,Dayat Bryna,5615052,18,Indonesia,Vrouw,1770,Werpers,20,1,16,173,74,True,17,2,3,10,3,2,7,9,6
Onbekend,Di Pietropaolo Matteo,5366097,25,Italia,Man,1500,Sprinters,20,1,11,185,84,True,11,4,3,11,2,2,0,5,8
Onbekend,Corvo Fiorella,5352218,24,Italia,Vrouw,1200,Sprinters,19,1,11,182,75,True,15,3,4,10,6,3,4,5,5
Onbekend,Tarantino Cinzia,5339137,25,Italia,Vrouw,1460,Sprinters,20,1,11,165,63,True,16,2,4,9,9,2,1,7,5
Onbekend,Azzarelli Delfina,5174516,35,Italia,Vrouw,670,Middenafstandslopers,11,4,11,182,93,True,13,0,3,9,0,0,0,7,6
Onbekend,Cerroni Gavino,5287966,26,Italia,Man,2250,Langeafstandslopers,18,1,11,173,79,True,16,12,6,4,4,2,2,7,6
