Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2,Transferwaarde,Waarde,AtleetId
10 km snelwandelen,Kolivas Apostolos,5281592,28,Hellas,Man,5250,Snelwandelaars,19,7,15,184,80,2025-02-14 13:04:46,11,2,13,1,5,2,2,10,11,,0,5281592
Onbekend,Xalari Velissaria,5573036,19,Hellas,Vrouw,1520,Sprinters,20,2,16,168,63,2025-02-14 14:05:12,7,10,3,9,3,3,2,8,5,,0,5573036
Onbekend,Costa Domitila,5628938,27,Brasil,Vrouw,980,Snelwandelaars,20,1,18,177,73,2025-02-14 14:37:24,8,3,10,5,5,1,2,5,5,,0,5628938
Onbekend,Bertuci Pablo,5643620,15,Brasil,Man,800,Sprinters,20,1,12,154,57,2025-02-14 14:37:26,14,3,2,9,2,1,3,6,6,,0,5643620
Onbekend,Cavalieri Delma,5641983,17,Brasil,Vrouw,950,Springers,19,1,14,160,57,2025-02-14 14:37:28,12,3,2,2,1,9,1,5,8,,0,5641983
Onbekend,Tesser Olívia,5638177,14,Brasil,Vrouw,490,Werpers,16,1,13,163,55,2025-02-14 14:37:31,13,1,4,7,2,3,5,8,5,,0,5638177
Onbekend,Romeu Atílio,5630352,18,Brasil,Man,960,Meerkampers,17,1,13,187,87,2025-02-14 14:37:32,17,7,3,1,5,2,2,6,8,,0,5630352
Onbekend,Andrade Monique,5630350,17,Brasil,Vrouw,660,Middenafstandslopers,19,1,12,165,66,2025-02-14 14:41:41,6,1,7,2,3,3,2,5,9,,0,5630350
Onbekend,Vicençote Afonso,5647742,16,Brasil,Man,1450,Springers,18,1,13,177,77,2025-02-14 14:42:19,20,3,0,2,2,6,1,5,8,,0,5647742
Onbekend,de Mesquista Jéssica,5651796,16,Brasil,Vrouw,1020,Springers,18,1,14,176,70,2025-02-14 14:42:22,13,1,2,1,1,10,3,8,5,,0,5651796
Onbekend,Boas Cassandra,5655315,16,Brasil,Vrouw,1040,Meerkampers,19,1,14,155,50,2025-02-14 14:42:25,10,5,2,3,5,6,10,5,3,,0,5655315
800 meter,Yildirim Serhat,4971326,33,Türkiye,Man,28840,Middenafstandslopers,20,14,17,184,79,2025-02-14 15:16:50,17,0,14,19,0,1,1,10,11,,0,4971326
400 meter horden,Delgado Felisberto,4892787,35,Portugal,Man,17240,Sprinters,19,15,16,191,77,2025-02-14 15:42:33,20,0,0,17,9,0,0,6,7,,0,4892787
10.000 meter,Coromina Virtudes,4881917,36,España,Vrouw,15390,Langeafstandslopers,18,14,17,161,58,2025-02-14 15:42:40,16,0,15,15,0,0,0,8,7,,0,4881917
Onbekend,Sowiński Przemysław,5660186,14,Polska,Man,1210,Werpers,19,1,15,170,64,2025-02-14 16:13:59,17,3,1,7,2,3,9,6,7,,1000,5660186
Onbekend,Solnica Grzegorz,5660196,14,Polska,Man,540,Sprinters,14,1,14,168,62,2025-02-14 16:18:40,16,5,3,7,2,1,3,7,5,,1000,5660196
Onbekend,Zasada Roman,5660198,14,Polska,Man,520,Snelwandelaars,15,1,14,172,75,2025-02-14 16:19:53,13,1,9,1,1,1,3,6,5,,1000,5660198
Onbekend,Carosiello Ambrogio,5572043,16,Italia,Man,3140,Springers,20,1,16,184,89,2025-02-14 16:22:51,13,3,4,2,9,12,0,8,6,,74000,5572043
Onbekend,Seguro Doroteia,5633501,16,Portugal,Vrouw,1370,Springers,20,1,14,168,62,2025-02-14 16:25:35,20,2,1,3,2,5,0,7,8,,0,5633501
Onbekend,Anunciada Ivo,5640419,16,Portugal,Man,520,Werpers,16,1,15,179,86,2025-02-14 16:25:39,16,1,3,1,1,1,7,6,5,,0,5640419
Onbekend,Paneira Oriana,5640418,17,Portugal,Vrouw,1290,Werpers,14,1,14,176,73,2025-02-14 16:25:45,7,1,2,2,9,2,7,8,8,,0,5640418
3.000 meter steeplechase,de Almeida Luís,5069641,31,Portugal,Man,7350,Middenafstandslopers,20,11,16,190,88,2025-02-14 17:01:42,19,0,6,15,0,0,1,6,8,,0,5069641
Onbekend,Benítez Eder,5482028,19,España,Man,6470,Springers,20,3,14,183,90,2025-02-14 17:29:20,8,1,1,1,2,15,2,7,5,,0,5482028
Onbekend,Reed Hannah,5594095,16,United States,Vrouw,1430,Meerkampers,13,1,15,159,63,2025-02-14 17:51:03,10,8,3,2,3,9,3,8,8,,0,5594095
Speerwerpen,Garatti Maria Caterina,5389760,23,Italia,Vrouw,6480,Werpers,20,4,18,181,83,2025-02-14 17:52:14,9,2,3,1,2,3,15,10,8,,0,5389760
Speerwerpen,Sgrazzutti Ignazio,5224416,27,Italia,Man,4780,Werpers,20,5,18,191,89,2025-02-14 17:52:26,7,12,4,4,9,2,4,10,10,,0,5224416
Onbekend,Citriniti Elia,5603678,15,Italia,Man,420,Werpers,17,1,16,185,93,2025-02-14 17:52:42,7,4,3,4,1,2,7,7,7,,0,5603678
Speerwerpen,Peters Armand,5214083,33,Lëtzebuerg,Man,5710,Werpers,19,12,18,180,88,2025-02-14 18:09:40,20,12,0,0,0,0,12,6,8,,0,5214083
1.500 meter,Gaya Yuta,4963933,37,Nippon,Man,14850,Middenafstandslopers,18,16,17,175,67,2025-02-14 18:10:22,17,0,13,14,0,0,0,10,10,,0,4963933
Hinkstapspringen,Pampis Periklis,5042787,32,Cyprus,Man,13400,Springers,20,16,17,178,77,2025-02-14 18:15:09,14,0,2,2,10,13,2,12,11,,0,5042787
1.500 meter,Maalidji Chloe,5190565,29,Switzerland,Vrouw,12910,Middenafstandslopers,20,10,15,176,69,2025-02-14 18:20:27,16,5,12,14,2,0,0,13,11,,9999,5190565
Onbekend,Santander Alana,5623231,17,España,Vrouw,1230,Sprinters,20,1,15,157,56,2025-02-14 18:55:20,14,4,2,9,8,2,1,7,8,,1000,5623231
Onbekend,Taurisano Yuri,5656466,15,Italia,Man,1130,Sprinters,18,1,15,169,70,2025-02-14 19:51:58,9,3,3,10,3,2,1,6,8,,0,5656466
Onbekend,Gubler Morgane,5659844,15,Switzerland,Vrouw,1040,Zonder specialiteit,18,1,14,170,64,2025-02-14 19:53:45,8,1,4,3,0,7,10,0,0,,1000,5659844
Kogelslingeren,Grey Sören,5374453,23,Deutschland,Man,4830,Werpers,20,5,20,181,92,2025-02-14 21:15:33,19,10,1,2,1,1,12,10,8,,0,5374453
Onbekend,Jenko Tamara,5544166,17,Slovenija,Vrouw,7680,Sprinters,20,2,16,161,67,2025-02-14 21:18:50,15,1,0,16,5,2,3,5,8,,43000,5544166
Onbekend,Kalaki Popi,5532565,18,Hellas,Vrouw,1480,Snelwandelaars,20,1,11,181,84,2025-02-15 09:23:35,14,2,9,3,10,1,2,6,7,,0,5532565
Onbekend,Salmatanis Iliodoros,5649804,17,Hellas,Man,970,Werpers,14,1,16,189,93,2025-02-15 09:23:46,12,10,2,1,3,3,3,7,7,,0,5649804
200 meter,Abrahams Patrice,5115009,30,Jamaica,Vrouw,17480,Sprinters,18,14,14,180,76,2025-02-15 09:29:31,12,10,2,17,2,2,1,12,10,,0,5115009
1.500 meter,Martin Petrona,5115018,33,Jamaica,Vrouw,22280,Middenafstandslopers,20,13,15,159,43,2025-02-15 09:29:49,18,0,18,13,0,0,0,8,11,,0,5115018
5.000 meter,Abrahams Michael,5115020,31,Jamaica,Man,18250,Langeafstandslopers,20,14,17,172,69,2025-02-15 09:30:11,14,1,17,6,2,0,0,12,8,,0,5115020
50 km snelwandelen,Gray Trudy,5395881,25,Jamaica,Vrouw,20590,Snelwandelaars,20,6,17,161,58,2025-02-15 09:30:25,20,1,19,1,2,3,1,11,9,,0,5395881
Kogelslingeren,Lowe Jo-Hannah,5115054,31,Jamaica,Vrouw,19770,Werpers,20,14,16,178,63,2025-02-15 09:30:42,17,14,0,1,1,0,17,10,10,,0,5115054
Onbekend,Susic Loretta,5548726,17,Italia,Vrouw,1590,Sprinters,20,1,12,168,72,2025-02-15 18:27:37,17,2,2,9,2,0,4,8,8,,0,5548726
Onbekend,Kosters Jason,5544223,17,België,Man,1890,Langeafstandslopers,20,2,16,175,87,2025-02-15 21:12:28,10,2,12,3,0,0,3,7,7,,0,5544223
Onbekend,Echanove Jeremías,5592218,18,España,Man,1890,Werpers,20,1,14,175,81,2025-02-15 22:18:10,14,3,0,9,4,3,10,8,6,,0,5592218
Onbekend,Cordobés Azucena,5538248,17,España,Vrouw,690,Sprinters,20,2,14,185,90,2025-02-15 22:18:16,13,7,6,6,4,8,2,6,5,,0,5538248
Onbekend,Altés Florencio,5611858,17,España,Man,1020,Sprinters,20,1,16,178,81,2025-02-15 22:18:27,10,5,0,10,5,2,3,5,6,,0,5611858
Onbekend,Mendoza Garrett,5500787,19,United States,Man,1940,Sprinters,20,2,12,180,89,2025-02-16 02:39:29,16,9,2,9,3,1,1,8,9,,1000,5500787
Onbekend,Adriano Cátia,5660544,14,Brasil,Vrouw,1370,Zonder specialiteit,11,1,15,155,50,2025-02-16 03:18:26,15,8,1,10,1,0,3,0,0,,193000,5660544
Onbekend,Xavier Nicolau,5660542,15,Brasil,Man,1840,Zonder specialiteit,11,1,15,164,62,2025-02-16 03:18:44,18,10,5,0,2,0,9,0,0,,203000,5660542
Onbekend,Lo Valvo Vincenzo,5553590,17,Italia,Man,2300,Middenafstandslopers,20,2,19,180,91,2025-02-16 06:09:53,17,3,12,6,1,2,6,4,4,,1000,5553590
Onbekend,Sequeira Ofélia,5603765,17,Portugal,Vrouw,1940,Springers,20,1,15,177,73,2025-02-16 07:03:25,12,3,1,4,6,11,0,8,8,,0,5603765
Hinkstapspringen,Schotte Jorn,4902166,35,België,Man,7750,Springers,17,12,17,169,82,2025-02-16 07:04:45,8,0,0,0,8,5,0,13,12,,0,4902166
Onbekend,Clements David,5566552,18,United States,Man,1430,Middenafstandslopers,20,2,18,177,84,2025-02-16 07:08:37,9,4,4,9,1,8,0,9,7,,0,5566552
Onbekend,Kňazovická Irena,5572965,17,Slovensko,Vrouw,3540,Springers,20,2,17,183,85,2025-02-16 08:22:08,20,1,2,1,4,13,3,5,5,,1000,5572965
Onbekend,Pellitero Carolina,5578281,17,España,Vrouw,3010,Sprinters,14,1,15,175,79,2025-02-16 08:41:34,16,8,3,13,4,1,3,6,5,,1000,5578281
Onbekend,Roberts Deborah,5659250,15,Jamaica,Vrouw,850,Springers,17,1,15,158,58,2025-02-16 08:57:36,18,1,1,3,3,8,5,6,6,,9999,5659250
Onbekend,De Visschere François,5653561,16,België,Man,1050,Sprinters,19,1,15,176,75,2025-02-16 08:59:21,19,6,1,8,2,3,3,6,4,,1000,5653561
Onbekend,Ausekle Inta,5613810,18,Latvija,Vrouw,1630,Meerkampers,20,2,15,174,73,2025-02-16 09:16:59,14,2,3,10,3,2,9,8,6,,0,5613810
10.000 meter,Biete Mihails,5086438,32,Latvija,Man,16230,Langeafstandslopers,19,16,16,180,72,2025-02-16 09:17:13,6,1,15,12,0,0,0,11,6,,0,5086438
Onbekend,Garetxana Fátima,5660649,15,España,Vrouw,780,Werpers,10,1,15,154,48,2025-02-16 09:52:13,14,1,1,3,2,3,9,6,7,,0,5660649
Kogelstoten,Kovačević Hortenzija,5483486,23,Slovenija,Vrouw,5030,Werpers,20,4,19,175,63,2025-02-16 10:19:41,17,13,1,3,3,3,12,9,7,,5000,5483486
Onbekend,Ventura Custódia,5659323,17,Portugal,Vrouw,900,Werpers,13,1,14,175,70,2025-02-16 10:22:19,19,3,6,1,3,3,7,5,4,,0,5659323
Onbekend,Fraga Alda,5659329,16,Portugal,Vrouw,1000,Snelwandelaars,15,1,16,152,49,2025-02-16 10:22:28,10,2,8,0,7,2,8,7,8,,0,5659329
Onbekend,Vento Álvaro,5621579,16,Portugal,Man,1380,Middenafstandslopers,20,1,14,184,89,2025-02-16 10:26:42,12,1,11,3,4,4,3,6,7,,1000,5621579
Onbekend,Julião Dores,5627980,18,Portugal,Vrouw,1040,Middenafstandslopers,13,1,14,159,59,2025-02-16 10:27:16,6,2,9,9,0,2,1,5,6,,0,5627980
3.000 meter steeplechase,McNeill Ciaran,4981621,36,Great Britain,Man,6550,Middenafstandslopers,19,14,16,181,58,2025-02-16 10:27:50,15,0,11,9,1,0,0,11,9,,0,4981621
Onbekend,Valášková Sabina,5659374,16,Česká republika,Vrouw,1080,Zonder specialiteit,13,1,14,166,62,2025-02-16 10:48:15,20,3,4,1,3,6,0,0,0,,0,5659374
Onbekend,Odriozola Abril,5028558,32,España,Vrouw,4280,Werpers,14,7,15,170,67,2025-02-16 10:58:38,12,1,1,0,0,0,13,7,9,,1000,5028558
Onbekend,Maloney Holly,5570496,17,Great Britain,Vrouw,910,Werpers,19,1,15,167,72,2025-02-16 11:02:53,7,9,1,0,2,6,8,6,6,,0,5570496
Onbekend,Grindlay Jenna,5573987,16,Great Britain,Vrouw,1030,Meerkampers,20,1,16,165,70,2025-02-16 11:03:15,11,6,8,6,2,3,9,7,6,,0,5573987
Onbekend,Desitter Moniek,5659153,17,Nederland,Vrouw,1390,Zonder specialiteit,18,1,14,171,69,2025-02-16 11:20:57,17,10,3,2,8,3,1,0,0,,0,5659153
20 km snelwandelen,Gutierrez Patricia,5325856,24,Colombia,Vrouw,22320,Snelwandelaars,20,6,17,188,68,2025-02-16 11:58:34,19,1,19,1,3,4,8,11,10,,12000,5325856
Zevenkamp,Oubiña Eloisa,5373795,22,España,Vrouw,5110,Meerkampers,20,5,17,170,78,2025-02-16 12:00:08,20,8,2,13,6,3,3,9,9,,18000,5373795
1.500 meter,Spadaro Gianni,5141788,29,Italia,Man,5220,Middenafstandslopers,20,8,18,188,92,2025-02-16 12:44:39,9,1,4,11,8,3,0,12,9,,0,5141788
3.000 meter steeplechase,Gafà Loretta,5315236,27,Italia,Vrouw,6500,Middenafstandslopers,20,6,17,155,32,2025-02-16 12:44:41,16,0,9,12,1,1,1,13,7,,0,5315236
400 meter horden,Steinþórsdóttir Kristfríður,5056381,32,Ísland,Vrouw,18860,Sprinters,20,13,18,161,55,2025-02-16 13:03:23,20,5,1,17,14,1,0,9,10,,1000,5056381
Onbekend,Charruaz Salvatore,5653280,15,Italia,Man,750,Langeafstandslopers,18,1,17,174,74,2025-02-16 13:09:24,6,3,7,2,3,3,1,6,9,,0,5653280
5.000 meter,Mohar Damir,5421994,22,Slovenija,Man,7520,Langeafstandslopers,20,6,20,188,89,2025-02-16 13:24:17,13,2,15,9,2,3,3,10,6,,5000,5421994
Onbekend,Zanleone Filiberto,5624745,17,Italia,Man,920,Snelwandelaars,15,1,15,180,80,2025-02-16 13:49:46,7,3,3,9,8,2,3,4,7,,0,5624745
Onbekend,Barcia Benjamín,5551148,17,España,Man,3510,Langeafstandslopers,20,1,14,171,65,2025-02-16 13:56:57,11,4,13,2,3,7,2,6,6,,0,5551148
Onbekend,Barijho Cristian,5573218,18,Argentina,Man,1630,Springers,20,2,15,165,70,2025-02-16 14:05:14,20,1,0,7,7,9,2,5,5,,1000,5573218
20 km snelwandelen,Abbondanzieri Carlos,5156255,34,Argentina,Man,9910,Snelwandelaars,18,14,16,167,48,2025-02-16 14:05:50,17,0,15,2,6,0,0,9,6,,0,5156255
Polsstokhoogspringen,Cohen Tatiana,5156266,34,Argentina,Vrouw,7010,Springers,16,13,16,186,68,2025-02-16 14:06:34,18,0,0,0,11,12,0,7,11,,0,5156266
400 meter,Guevara Emiliano,5156233,29,Argentina,Man,12640,Sprinters,20,14,15,193,78,2025-02-16 14:07:14,14,10,3,15,5,2,2,11,10,,0,5156233
Tienkamp,Fillol Alberto,5017820,33,Argentina,Man,5660,Meerkampers,20,15,15,185,79,2025-02-16 14:07:38,18,5,0,5,6,6,7,10,8,,0,5017820
Onbekend,Gruiters Rens,5659578,17,Nederland,Man,460,Zonder specialiteit,14,1,15,175,77,2025-02-16 14:23:19,15,1,2,7,3,5,6,0,0,,0,5659578
Onbekend,van Velzen Pieter,5659577,16,Nederland,Man,1450,Werpers,18,1,14,174,72,2025-02-16 14:23:21,6,10,2,3,10,1,2,7,3,,0,5659577
Onbekend,Kubisztal Klaudiusz,5615035,17,Polska,Man,1300,Snelwandelaars,18,1,17,169,69,2025-02-16 14:50:35,7,1,8,10,4,1,3,4,7,,0,5615035
10 km snelwandelen,Poustecká Iveta,4899493,35,Česká republika,Vrouw,8710,Snelwandelaars,19,14,15,159,47,2025-02-16 15:15:30,17,0,12,3,1,0,0,10,12,,0,4899493
Onbekend,Sprećaković Jelisaveta,5601185,17,Srbija,Vrouw,1730,Meerkampers,20,1,14,176,74,2025-02-16 15:21:48,19,5,3,0,1,2,10,8,7,,0,5601185
Onbekend,Király Mihály,5637168,16,Magyarország,Man,1780,Meerkampers,16,1,18,167,71,2025-02-16 15:56:03,17,9,1,9,3,3,2,8,7,,9999,5637168
Hoogspringen,Tomlinson Iona,5487083,24,Great Britain,Vrouw,3660,Springers,20,4,19,162,51,2025-02-16 16:29:45,19,2,0,2,7,8,1,11,9,,0,5487083
Onbekend,Agius Finn,5592415,16,Malta,Man,1510,Meerkampers,12,2,18,170,83,2025-02-16 16:47:28,8,2,1,11,8,1,0,5,7,,5000,5592415
Onbekend,Cunha Vitorino,5560424,20,Portugal,Man,1510,Springers,20,2,18,174,72,2025-02-16 16:50:44,18,1,3,1,4,8,2,9,5,,0,5560424
100 meter,Sobera Jerónimo,5211495,30,España,Man,32240,Sprinters,20,11,16,181,75,2025-02-16 17:01:45,20,12,0,20,1,2,1,10,11,,9999,5211495
400 meter,Hermosilla Aura,5280718,28,España,Vrouw,28930,Sprinters,20,8,16,171,55,2025-02-16 17:02:17,16,12,3,20,2,2,1,9,6,,0,5280718
Onbekend,Valentinetti Federica,5606495,24,Italia,Vrouw,1470,Werpers,20,2,16,178,71,2025-02-16 17:04:10,14,8,1,3,6,3,9,8,8,,0,5606495
5.000 meter,Pinto Cesária,5569098,20,Portugal,Vrouw,2060,Langeafstandslopers,20,3,16,169,59,2025-02-16 17:04:22,16,1,6,3,2,0,1,5,11,,0,5569098
Onbekend,Savoca Alberico,5553593,17,Italia,Man,5820,Langeafstandslopers,20,2,13,193,87,2025-02-16 17:04:35,20,2,14,3,1,1,5,4,7,,0,5553593
3.000 meter steeplechase,Vilaça Isaura,5569093,22,Portugal,Vrouw,1490,Middenafstandslopers,20,3,17,179,69,2025-02-16 17:04:46,16,2,10,4,3,1,1,3,9,,0,5569093
Discuswerpen,Peneva Desislava,4805086,38,Bulgaria,Vrouw,12130,Werpers,19,18,16,188,75,2025-02-16 17:20:05,16,9,0,0,1,0,8,7,9,,0,4805086
Tienkamp,Hristov Stoyan,4991811,34,Bulgaria,Man,7390,Meerkampers,20,12,16,187,80,2025-02-16 17:20:13,19,0,0,10,10,0,3,12,11,,0,4991811
Onbekend,Giordano Lucio,5630637,17,Italia,Man,1620,Sprinters,17,1,16,176,80,2025-02-16 17:21:07,19,2,2,10,1,2,2,5,8,,0,5630637
Onbekend,Iachini Abramo,5656419,16,Italia,Man,690,Sprinters,15,1,15,172,71,2025-02-16 17:21:13,16,2,2,9,2,2,2,3,3,,0,5656419
Onbekend,Proserpio Peter,5650997,14,Italia,Man,410,Sprinters,20,1,15,164,63,2025-02-16 17:21:18,14,2,2,6,3,2,3,7,6,,0,5650997
Onbekend,Tozzi Artemio,5643766,16,Italia,Man,1170,Sprinters,20,1,15,171,78,2025-02-16 17:21:23,7,8,3,3,9,2,1,7,8,,0,5643766
Onbekend,Buticchi Giusi,5648723,14,Italia,Vrouw,880,Sprinters,17,1,15,173,68,2025-02-16 17:21:26,18,1,1,6,3,1,1,7,7,,0,5648723
Onbekend,Ibermajerová Alexandra,5608751,17,Česká republika,Vrouw,1870,Sprinters,20,2,15,161,63,2025-02-16 17:21:30,15,4,2,11,2,3,1,9,6,,0,5608751
Onbekend,Malverdi Rebecca,5617443,16,Italia,Vrouw,810,Sprinters,20,1,16,183,83,2025-02-16 17:21:35,14,2,3,9,8,1,1,5,6,,0,5617443
Onbekend,Muzzolon Sabrina,5644989,17,Italia,Vrouw,1640,Sprinters,11,1,16,171,63,2025-02-16 17:21:38,13,0,3,11,6,1,3,8,3,,0,5644989
Onbekend,Oude Monninkhof Aniek,5562356,17,Nederland,Vrouw,2400,Sprinters,20,2,15,168,74,2025-02-16 17:21:43,12,4,2,12,2,6,4,6,5,,0,5562356
Onbekend,Shaw Laura,5551794,17,Great Britain,Vrouw,1380,Sprinters,20,2,15,166,69,2025-02-16 17:21:47,10,7,1,11,3,0,4,6,5,,0,5551794
Onbekend,Carbajal Ícaro,5574829,17,España,Man,1210,Middenafstandslopers,19,2,16,169,80,2025-02-16 17:21:51,7,2,10,8,1,2,2,4,6,,0,5574829
Onbekend,Dassi Filippo,5637225,14,Italia,Man,470,Middenafstandslopers,20,1,16,171,75,2025-02-16 17:21:56,9,1,4,4,8,1,1,5,7,,0,5637225
Onbekend,Filippuzzi Mabel,5627721,15,Italia,Vrouw,600,Middenafstandslopers,17,1,15,171,63,2025-02-16 17:22:01,11,6,7,1,2,2,2,8,7,,0,5627721
Onbekend,Zupin Diletta,5640716,16,Italia,Vrouw,1290,Middenafstandslopers,15,1,15,157,61,2025-02-16 17:22:06,19,2,3,3,1,7,4,6,8,,0,5640716
Onbekend,Boccoli Francis,5612652,16,Brasil,Man,960,Langeafstandslopers,15,1,16,181,89,2025-02-16 17:22:11,10,2,10,2,3,1,2,5,7,,0,5612652
Onbekend,Lombardo Giandomenico,5592646,16,Italia,Man,310,Langeafstandslopers,19,2,16,164,70,2025-02-16 17:22:15,14,2,6,4,3,1,1,6,4,,0,5592646
Onbekend,Amistadi Ursula,5640715,15,Italia,Vrouw,900,Langeafstandslopers,14,2,15,163,60,2025-02-16 17:22:20,19,1,6,4,1,3,2,3,7,,0,5640715
Onbekend,Alfaro Arkaitz,5641612,17,España,Man,1570,Snelwandelaars,17,1,15,172,73,2025-02-16 17:22:25,7,3,10,2,3,3,1,9,8,,0,5641612
Onbekend,Dekeyser Christopher,5612076,16,België,Man,1620,Snelwandelaars,20,1,16,170,80,2025-02-16 17:22:30,19,2,10,2,3,3,3,7,4,,0,5612076
Onbekend,Beer Astrid,5560993,17,Österreich,Vrouw,1940,Snelwandelaars,20,3,15,164,68,2025-02-16 17:22:34,17,2,7,3,10,2,2,9,8,,9999,5560993
Onbekend,Battistelli Nicolò,5616483,17,Italia,Man,1600,Springers,19,2,15,183,88,2025-02-16 17:22:44,15,1,1,10,2,1,0,5,9,,0,5616483
Onbekend,Osovych Karl,5639104,17,Österreich,Man,1610,Springers,15,1,16,173,74,2025-02-16 17:22:55,17,7,0,1,1,11,3,4,5,,0,5639104
Onbekend,Pomposo Andrea,5565203,16,Italia,Man,1700,Springers,20,2,16,174,84,2025-02-16 17:22:59,9,1,1,3,1,10,9,7,6,,0,5565203
Onbekend,Adorni Michelle,5622581,16,Italia,Vrouw,1120,Springers,15,1,16,169,68,2025-02-16 17:23:03,16,9,3,1,6,5,2,7,8,,0,5622581
Onbekend,Ramos Firmina,5636875,17,Portugal,Vrouw,490,Springers,14,1,15,158,56,2025-02-16 17:23:08,7,3,2,1,2,8,1,7,6,,0,5636875
Onbekend,Rojas Makayla,5571087,17,United States,Vrouw,400,Springers,18,3,15,174,74,2025-02-16 17:23:13,10,1,1,1,1,8,2,5,5,,0,5571087
Onbekend,Amâncio Lauro,5638176,17,Brasil,Man,820,Werpers,16,1,16,170,73,2025-02-16 17:23:17,15,2,1,2,2,3,9,4,4,,0,5638176
Onbekend,Monzón Donato,5644326,15,España,Man,1680,Werpers,20,1,15,166,68,2025-02-16 17:23:21,18,2,2,3,9,2,8,8,7,,0,5644326
Onbekend,Nieto Leonardo,5590437,17,España,Man,1010,Werpers,20,2,17,178,85,2025-02-16 17:23:30,18,3,2,3,1,2,7,7,7,,0,5590437
Onbekend,Ortis Ezio,5578803,17,Italia,Man,870,Werpers,20,1,16,187,98,2025-02-16 17:23:34,12,7,1,1,5,1,9,5,7,,0,5578803
Onbekend,Brustia Alessia,5656420,17,Italia,Vrouw,540,Werpers,18,1,15,163,64,2025-02-16 17:23:39,10,9,3,0,1,2,3,4,4,,0,5656420
Onbekend,Nobre Idalina,5641777,17,Portugal,Vrouw,1210,Werpers,14,1,15,174,73,2025-02-16 17:23:53,14,2,3,9,1,3,10,4,5,,0,5641777
