AtleetID,MaxID,Exp,Vorm,Zorg,Kra,Uit,Sne,Len,Spr,Wrp,SP1,SP2,date
5658323,1330,1,15,20,3,2,9,3,4,5,0,0,20250212
5557831,850,2,20,17,7,5,1,3,7,0,5,6,20250212
5659282,490,1,15,16,1,1,7,2,2,7,0,0,20250212
5658647,910,1,15,14,3,2,1,10,3,0,0,0,20250212
5658305,1370,1,15,19,3,2,3,10,3,2,0,0,20250212
5660201,1040,1,15,8,2,2,7,3,1,10,0,0,20250212
5658015,290,1,15,12,3,3,8,3,2,1,0,0,20250212
5567590,2590,2,17,9,2,11,6,2,1,1,5,11,20250212
5658484,380,1,15,16,3,3,1,2,2,3,0,0,20250212
5658416,700,1,15,18,1,2,2,1,2,6,0,0,20250212
5659851,800,1,15,18,0,2,8,3,1,2,0,0,20250212
5634612,530,1,12,10,3,1,9,2,1,0,3,4,20250212
5658407,500,1,15,13,0,5,1,3,9,2,0,0,20250212
5660053,170,1,15,12,3,3,3,6,4,2,0,0,20250212
5658366,1250,1,15,8,10,9,7,1,1,2,0,0,20250212
5609978,1380,1,18,13,6,5,2,2,2,9,7,9,20250212
5647770,500,1,14,6,4,9,3,2,2,3,4,4,20250212
5615838,640,1,15,9,2,3,0,5,1,8,6,8,20250212
5660298,890,1,15,11,3,2,2,10,2,3,0,0,20250212
5485334,2540,2,11,17,2,12,6,3,4,1,4,9,20250212
5658336,270,1,15,15,3,3,3,2,6,0,0,0,20250212
5658286,240,1,15,10,1,2,1,3,8,3,0,0,20250212
5659907,410,1,15,12,1,8,3,4,2,2,4,4,20250212
5658299,260,1,15,6,2,2,6,8,1,3,0,0,20250212
5659518,250,1,15,6,1,1,3,2,1,8,0,0,20250212
5649362,610,1,15,17,3,3,2,4,2,5,4,7,20250212
5659858,250,1,15,10,2,2,8,0,3,3,0,0,20250212
5659230,100,1,15,8,6,5,2,0,2,3,0,0,20250212
5659181,440,1,15,15,2,1,8,5,3,0,0,0,20250212
5659050,80,1,15,9,2,2,3,2,1,5,0,0,20250212
5659822,720,1,15,18,7,3,3,1,3,3,0,0,20250212
5289246,6510,9,16,14,1,13,5,3,0,1,11,10,20250212
5658003,1000,1,15,16,3,2,9,3,1,8,0,0,20250212
5659898,410,1,15,10,3,2,8,6,2,1,0,0,20250212
5572429,1610,2,15,18,2,8,3,3,0,2,7,9,20250212
5582386,1170,2,15,15,2,0,1,6,10,2,6,6,20250212
5626240,1800,1,18,16,3,2,10,1,2,1,8,7,20250212
5658347,1050,1,15,20,4,0,3,3,1,1,0,0,20250212
5651118,770,1,15,16,8,4,3,3,1,4,8,5,20250212
5659744,490,1,15,6,1,8,2,3,8,1,0,0,20250212
5603091,1630,1,15,6,2,8,11,1,1,2,8,5,20250212
5637795,1640,1,15,20,6,2,2,1,3,2,8,8,20250212
5660223,940,1,15,16,1,1,10,2,3,1,0,0,20250212
5650345,610,1,15,14,7,1,1,3,2,3,8,3,20250212
5658116,340,1,15,12,3,7,1,1,6,7,0,0,20250212
5455323,1670,1,11,15,2,10,5,2,2,3,8,8,20250212
5660156,70,1,15,8,0,3,4,2,1,3,0,0,20250212
5655935,640,1,14,9,1,9,7,3,2,2,6,6,20250212
5570655,620,1,11,6,3,7,2,9,5,3,7,6,20250212
5621716,570,1,12,9,8,2,2,8,0,2,0,0,20250212
5658391,310,1,15,13,3,8,2,1,2,3,0,0,20250212
5660303,860,1,15,6,1,2,6,10,0,5,0,0,20250212
5658335,660,1,15,14,3,9,3,3,3,2,0,0,20250212
5658811,210,1,15,11,1,3,2,3,7,3,0,0,20250212
5660017,180,1,15,14,0,3,2,1,4,2,0,0,20250212
5659445,270,1,15,10,3,5,6,3,7,1,0,0,20250212
5660241,1090,1,15,17,2,2,1,10,0,2,0,0,20250212
5659671,1410,1,15,19,9,3,8,3,2,3,4,6,20250212
5626774,410,1,16,11,1,3,4,1,2,3,5,8,20250212
5660517,850,1,15,20,2,2,5,3,2,1,0,0,20250212
5660099,220,1,15,8,1,8,2,2,4,1,0,0,20250212
5658809,470,1,15,6,3,1,1,3,9,2,0,0,20250212
5658281,680,1,15,16,2,3,1,9,2,2,0,0,20250212
5573106,1960,1,15,9,9,2,2,11,1,2,7,8,20250212
5659866,470,1,15,9,5,2,1,8,2,4,7,5,20250212
5621547,780,1,15,9,3,9,3,0,1,0,7,5,20250212
5658463,510,1,15,17,1,7,2,1,2,3,0,0,20250212
5659095,430,1,15,16,1,7,2,2,2,1,0,0,20250212
5637351,1180,1,15,10,10,0,1,1,1,8,6,5,20250212
5660260,510,1,15,9,6,5,1,3,2,9,0,0,20250212
5268025,3120,3,11,16,3,3,8,7,11,2,9,9,20250212
5639925,1120,1,15,18,1,0,1,2,9,3,5,4,20250212
5659547,340,1,15,13,8,3,3,2,2,1,0,0,20250212
5658113,500,1,15,6,3,2,2,3,9,5,0,0,20250212
5660379,950,1,15,19,5,6,2,8,3,1,0,0,20250212
5658312,800,1,15,11,0,3,9,2,2,9,0,0,20250212
5658770,2080,1,15,20,10,3,8,3,2,2,0,0,20250212
5658327,1150,1,15,20,1,1,5,2,0,7,0,0,20250212
5658640,910,1,15,13,0,10,2,1,2,3,0,0,20250212
5659183,600,1,15,17,7,1,2,2,1,6,0,0,20250212
5659063,410,1,15,14,3,8,1,1,2,3,0,0,20250212
5658488,1080,1,15,20,2,3,4,8,1,3,0,0,20250212
5587412,1080,2,11,9,2,7,9,2,2,2,9,5,20250212
5070675,13750,12,18,20,15,1,13,0,0,0,11,11,20250212
5634942,1040,1,15,10,3,1,9,3,4,7,8,7,20250212
5634133,470,1,15,14,2,8,4,1,0,2,5,5,20250212
5597913,780,1,15,15,0,6,7,5,2,2,7,7,20250212
5658387,650,1,15,18,1,6,1,2,1,2,0,0,20250212
5659497,540,1,15,8,7,3,0,9,1,3,0,0,20250212
5607464,840,1,11,8,3,2,10,3,3,3,5,6,20250212
5659707,140,1,15,6,3,3,1,2,1,7,0,0,20250212
5658930,150,1,15,13,3,4,3,3,3,3,0,0,20250212
5658696,540,1,15,9,3,1,3,5,9,2,0,0,20250212
5660305,910,1,15,16,1,3,9,3,2,8,0,0,20250212
5634126,1430,1,12,19,1,2,9,1,3,5,5,8,20250212
5658304,330,1,15,13,8,3,1,3,2,5,0,0,20250212
5658398,480,1,15,17,1,7,1,1,3,1,0,0,20250212
5658962,320,1,15,9,8,3,3,2,3,2,0,0,20250212
5660475,70,1,15,10,3,1,1,2,3,2,0,0,20250212
5570973,520,2,18,7,8,4,3,5,1,2,6,5,20250212
5641778,1320,1,15,6,3,9,3,3,3,9,7,7,20250212
5658705,940,1,15,16,3,1,2,3,10,1,0,0,20250212
5659394,970,1,15,20,2,2,3,5,3,2,0,0,20250212
5596741,1090,2,19,13,10,1,4,1,2,1,7,5,20250212
5658138,490,1,15,8,3,9,2,3,5,4,0,0,20250212
5590304,150,1,15,7,6,4,1,3,3,3,5,5,20250212
5660505,580,1,15,13,3,3,6,6,9,2,0,0,20250212
5658780,1120,1,15,15,0,3,1,1,10,3,0,0,20250212
5658988,640,1,15,18,2,2,2,6,2,1,0,0,20250212
5096164,11160,9,15,18,0,14,10,0,1,4,14,10,20250212
5659443,140,1,15,6,0,2,5,2,7,2,0,0,20250212
5659823,830,1,15,18,8,2,0,1,0,2,0,0,20250212
4948153,8220,15,17,10,0,0,6,11,11,0,9,9,20250212
5660141,600,1,15,12,3,2,2,9,1,4,0,0,20250212
5660207,670,1,15,13,9,3,3,2,2,3,0,0,20250212
5659554,420,1,15,16,3,0,5,3,0,7,0,0,20250212
5660406,1120,1,15,20,2,1,6,3,1,2,0,0,20250212
5658388,430,1,15,17,2,1,2,3,5,3,0,0,20250212
5593904,730,1,15,18,2,0,3,6,1,2,5,7,20250212
5570838,210,3,15,7,4,3,7,1,2,1,0,0,20250212
5659126,580,1,15,13,1,2,3,2,5,9,0,0,20250212
5660149,810,1,15,13,2,4,9,2,3,8,0,0,20250212
5658275,910,1,15,18,2,9,1,2,2,2,0,0,20250212
5659424,130,1,15,9,3,2,5,2,6,2,0,0,20250212
5658069,410,1,15,16,4,0,6,2,2,3,0,0,20250212
5659863,450,1,15,15,6,8,3,1,5,3,0,0,20250212
5640482,650,1,15,14,9,3,2,3,2,2,5,7,20250212
5659979,160,1,15,10,1,2,3,6,6,5,0,0,20250212
5658111,110,1,15,9,1,1,5,1,3,6,0,0,20250212
5658350,210,1,15,10,5,4,1,1,7,1,0,0,20250212
5659546,360,1,15,16,0,5,3,2,2,2,0,0,20250212
5660290,580,1,15,6,2,0,3,9,2,3,0,0,20250212
5658636,620,1,15,13,2,9,2,1,3,3,0,0,20250212
5659496,460,1,15,15,8,2,1,3,3,2,0,0,20250212
5660419,240,1,15,8,0,1,1,8,2,3,0,0,20250212
5660176,1800,1,15,19,1,3,3,1,10,7,0,0,20250212
5660307,840,1,15,18,1,1,8,1,3,0,0,0,20250212
5659048,220,1,15,9,3,1,3,1,7,1,0,0,20250212
5658738,340,1,15,16,5,1,5,2,4,1,0,0,20250212
5216615,35090,9,16,19,15,0,20,2,2,0,7,9,20250212
4742207,6360,10,14,15,0,15,0,0,0,0,4,4,20250212
5658076,100,1,15,7,2,2,2,3,5,6,0,0,20250212
5657915,520,1,14,9,1,1,3,6,8,3,5,7,20250212
5654466,1360,1,15,17,2,1,9,1,9,3,0,0,20250212
5659237,600,1,15,7,9,7,2,3,0,3,0,0,20250212
5658794,690,1,15,7,1,0,10,3,2,1,0,0,20250212
5658732,980,1,15,16,8,1,4,1,9,0,0,0,20250212
5613826,840,1,15,13,9,3,3,2,3,4,8,6,20250212
5658256,550,1,15,12,7,2,9,5,4,3,0,0,20250212
5567594,2340,2,17,11,2,10,2,3,2,2,7,11,20250212
5289235,4730,7,14,17,2,10,7,2,2,2,11,11,20250212
5659567,610,1,15,16,7,7,3,1,3,2,0,0,20250212
5659456,470,1,15,16,7,3,3,2,3,1,0,0,20250212
5658238,990,1,15,7,3,7,1,10,2,1,0,0,20250212
5659054,910,1,15,12,7,3,10,1,2,3,4,6,20250212
5599857,1000,2,16,18,1,2,3,8,8,4,6,5,20250212
5660497,840,1,15,17,1,2,1,5,1,9,0,0,20250212
5659711,900,1,15,7,10,3,3,1,8,2,0,0,20250212
5660195,220,1,15,13,2,7,0,2,1,3,0,0,20250212
5660232,490,1,15,8,1,9,2,1,3,3,0,0,20250212
5656076,1030,1,15,6,2,2,1,2,8,9,7,7,20250212
5658146,380,1,15,15,4,6,0,1,6,1,0,0,20250212
5548362,1630,2,18,7,0,9,6,1,6,4,9,9,20250212
5658279,590,1,15,18,6,3,2,1,3,3,0,0,20250212
4877635,6030,12,13,7,0,14,8,0,0,0,6,6,20250212
5581677,1790,1,13,14,3,10,9,3,1,3,5,7,20250212
5620538,480,1,15,7,5,1,3,6,4,2,5,8,20250212
5658781,620,1,15,9,3,2,8,1,0,8,0,0,20250212
5641376,180,1,15,12,3,3,1,3,4,1,5,5,20250212
5659698,370,1,15,12,4,1,8,1,3,2,0,0,20250212
5658758,80,1,15,8,1,5,1,2,2,2,0,0,20250212
5660044,380,1,15,16,2,2,3,0,5,1,0,0,20250212
4736708,5810,15,15,14,0,7,5,0,0,0,10,10,20250212
5659106,630,1,15,10,4,0,2,3,1,9,0,0,20250212
5531405,2490,2,19,13,7,3,4,2,3,12,7,8,20250212
5660427,350,1,13,16,3,3,2,2,6,3,4,5,20250212
5615834,370,1,15,11,2,3,0,3,5,1,8,5,20250212
5659709,360,1,15,9,1,2,2,8,3,2,0,0,20250212
5658049,160,1,15,11,1,4,6,2,2,2,0,0,20250212
5659542,580,1,15,6,3,3,3,2,9,3,0,0,20250212
5659419,190,1,15,14,3,1,5,4,3,1,0,0,20250212
5604907,1450,2,17,12,3,3,2,11,6,3,7,6,20250212
5648978,990,1,15,12,2,0,3,3,10,2,5,1,20250212
5658623,1090,1,15,16,1,10,3,0,1,3,0,0,20250212
5658927,1610,1,15,20,1,2,1,2,2,10,0,0,20250212
5655226,500,1,15,16,3,2,2,1,2,7,5,5,20250212
5659660,1010,1,15,12,4,4,1,6,10,1,5,6,20250212
5658171,440,1,15,9,4,2,6,3,2,9,0,0,20250212
5613705,560,1,14,17,3,2,7,6,4,2,5,5,20250212
5660031,1070,1,15,20,3,6,3,1,1,2,0,0,20250212
5660492,300,1,15,10,7,3,1,7,1,2,0,0,20250212
5640053,760,1,15,12,7,1,3,2,2,8,8,6,20250212
5660158,1340,1,15,18,1,2,4,3,1,10,0,0,20250212
5659845,580,1,15,17,7,1,1,5,1,3,0,0,20250212
5658464,1130,1,15,19,3,3,8,8,3,1,0,0,20250212
5658412,370,1,15,13,2,2,3,1,0,8,0,0,20250212
5659391,410,1,15,10,9,5,2,4,0,1,0,0,20250212
5659970,340,1,15,13,3,8,1,2,3,2,0,0,20250212
5587652,960,1,15,17,1,8,2,4,1,3,8,6,20250212
5659022,990,1,15,17,8,4,7,3,2,3,7,4,20250212
4871484,17240,14,17,20,14,0,16,0,0,0,11,7,20250212
5659055,450,1,15,14,2,3,2,1,3,8,0,0,20250212
5653143,1250,1,14,17,2,2,4,2,10,1,0,0,20250212
5658360,140,1,15,7,0,1,3,1,7,2,0,0,20250212
5636932,140,1,12,13,2,3,2,3,1,5,0,0,20250212
5658435,170,1,15,10,3,3,2,1,7,3,0,0,20250212
5658285,270,1,15,12,3,5,7,1,2,3,0,0,20250212
5658801,190,1,15,13,4,4,4,2,5,3,0,0,20250212
5649877,800,1,15,19,2,3,2,6,2,4,6,4,20250212
5536825,1790,2,12,19,2,2,7,7,9,8,7,6,20250212
5553495,520,4,13,15,5,3,1,8,2,0,5,5,20250212
5289243,6430,7,14,15,2,11,9,2,0,1,9,13,20250212
5660062,80,1,15,8,2,3,1,1,1,5,0,0,20250212
5659840,780,1,15,16,9,0,3,7,3,2,0,0,20250212
5658969,110,1,15,6,2,2,6,2,3,3,0,0,20250212
5614893,810,1,11,12,6,1,2,1,10,3,6,4,20250212
5659355,290,1,15,15,1,3,2,2,2,6,0,0,20250212
5658377,520,1,15,14,5,8,5,3,7,1,0,0,20250212
5658948,1200,1,15,19,3,5,1,2,9,4,0,0,20250212
5658456,780,1,15,11,2,1,1,1,1,10,0,0,20250212
5658184,200,1,15,8,2,3,3,3,7,2,0,0,20250212
5659825,690,1,15,9,10,1,3,3,2,1,0,0,20250212
5660471,450,1,15,16,3,1,1,6,3,6,0,0,20250212
5659100,570,1,15,8,2,3,3,2,1,9,0,0,20250212
5658580,150,1,15,10,0,1,7,1,1,3,0,0,20250212
5641620,150,1,15,9,2,6,4,2,2,3,5,4,20250212
5659837,820,1,15,7,2,10,3,2,5,2,0,0,20250212
5658813,1480,1,15,18,2,2,3,9,1,10,0,0,20250212
5658689,170,1,15,11,3,1,6,5,4,2,0,0,20250212
5658455,920,1,15,12,3,3,2,2,10,3,0,0,20250212
5659763,210,1,15,7,2,2,1,8,2,1,0,0,20250212
5660225,240,1,15,13,2,7,3,2,3,1,0,0,20250212
4972106,21260,13,15,17,2,0,16,2,0,0,15,13,20250212
5659406,110,1,15,11,2,2,4,2,4,5,0,0,20250212
5624615,500,1,15,6,0,3,9,3,3,2,5,6,20250212
5638019,1700,1,14,19,1,1,9,4,2,9,6,5,20250212
5658808,1400,1,15,20,2,3,3,9,1,2,0,0,20250212
5657706,360,1,15,12,3,2,7,0,3,3,4,7,20250212
5659057,560,1,15,9,6,1,1,6,9,1,5,5,20250212
5658795,140,1,15,6,1,1,4,1,7,2,0,0,20250212
5658987,910,1,15,20,3,3,3,2,1,3,0,0,20250212
5659565,520,1,15,15,6,1,4,2,8,3,0,0,20250212
5658338,120,1,15,11,5,2,3,1,1,3,0,0,20250212
5660154,150,1,15,8,3,1,2,3,6,6,0,0,20250212
5657982,330,1,15,8,3,2,8,1,4,2,0,0,20250212
5614620,1730,1,20,18,3,1,3,3,1,10,7,6,20250212
5564010,360,2,14,10,8,5,5,3,3,2,6,4,20250212
5658297,1570,1,15,19,2,3,1,10,3,2,0,0,20250212
5658993,700,1,15,6,2,10,2,5,2,2,0,0,20250212
5658379,750,1,15,11,10,2,2,7,3,4,0,0,20250212
5659573,360,1,15,15,2,2,7,0,2,3,0,0,20250212
5659548,1010,1,15,13,3,1,10,7,6,3,0,0,20250212
5326464,10240,6,17,19,2,14,4,3,2,3,12,13,20250212
5659774,600,1,15,18,2,5,3,6,3,2,0,0,20250212
5660138,80,1,15,6,6,0,2,3,3,2,0,0,20250212
5594611,1670,1,15,18,1,1,2,6,10,3,7,8,20250212
4825732,8990,15,16,20,0,0,0,10,11,0,10,10,20250212
5651728,830,1,15,17,2,6,3,1,2,1,5,8,20250212
5535783,1260,2,15,8,0,9,8,3,1,3,8,7,20250212
5659957,90,1,15,9,5,2,1,3,3,2,0,0,20250212
5658413,1420,1,15,11,9,4,2,3,10,1,0,0,20250212
5658104,1280,1,15,12,9,6,3,1,10,1,0,0,20250212
5658123,320,1,15,7,8,2,1,2,2,1,0,0,20250212
5658950,460,1,15,8,1,2,3,2,2,9,0,0,20250212
5659899,100,1,15,11,1,4,1,2,1,3,0,0,20250212
5660208,670,1,15,12,1,1,9,3,7,3,0,0,20250212
5657224,1010,1,13,9,3,0,3,4,9,1,9,6,20250212
5636146,560,1,15,16,3,3,5,6,7,2,5,6,20250212
5658620,510,1,15,18,3,1,2,3,3,1,0,0,20250212
5657796,1380,1,13,10,2,3,3,10,9,1,6,7,20250212
5658364,900,1,15,20,4,3,1,1,3,6,0,0,20250212
5658375,740,1,15,18,3,2,7,1,1,3,0,0,20250212
5592639,1610,2,17,7,3,2,10,3,2,1,8,8,20250212
5660078,560,1,15,7,3,1,7,9,2,3,0,0,20250212
5659524,840,1,15,16,1,9,3,1,8,3,0,0,20250212
5640087,1440,1,16,18,2,9,1,1,2,0,8,5,20250212
5658106,90,1,15,9,5,0,3,2,3,1,0,0,20250212
5659586,480,1,15,17,1,3,2,1,1,0,0,0,20250212
5658782,870,1,15,14,9,5,8,3,3,2,0,0,20250212
5539256,720,2,18,16,2,1,1,2,6,2,7,7,20250212
5658982,440,1,15,7,8,2,0,8,3,0,0,0,20250212
5658247,590,1,15,8,3,4,3,1,8,1,7,8,20250212
5633005,820,1,17,16,2,8,7,3,0,1,5,4,20250212
5651508,170,1,14,10,3,5,5,1,2,2,3,6,20250212
5658961,510,1,15,7,1,1,1,1,1,9,0,0,20250212
5651632,1380,1,15,20,0,3,5,7,1,2,8,3,20250212
5572929,1240,1,11,18,1,3,2,4,8,2,7,8,20250212
5658127,770,1,15,16,1,3,6,1,1,9,0,0,20250212
5565861,830,1,15,9,2,7,9,2,1,2,5,8,20250212
5566709,1110,2,16,13,3,1,3,5,8,2,9,7,20250212
5660121,90,1,15,10,4,2,1,2,2,3,0,0,20250212
5641128,1000,1,16,19,4,0,5,5,3,1,6,7,20250212
5658721,190,1,15,9,2,2,2,7,3,3,0,0,20250212
5660101,460,1,15,14,8,3,3,3,3,3,0,0,20250212
5659311,200,1,15,9,3,2,1,7,2,3,0,0,20250212
5289247,8570,6,17,20,3,12,6,3,0,1,10,14,20250212
4909852,39130,18,16,16,0,0,19,3,0,0,15,9,20250212
5565309,230,1,15,7,2,2,3,1,8,3,0,0,20250212
5658280,240,1,15,14,3,1,2,6,3,3,0,0,20250212
5659966,1320,1,15,15,2,8,0,1,0,10,0,0,20250212
5659514,790,1,15,18,1,2,3,8,2,3,0,0,20250212
5658643,140,1,15,13,1,4,1,3,3,3,0,0,20250212
4968118,6240,11,16,14,12,1,0,5,0,13,6,9,20250212
5658205,1300,1,15,19,0,3,2,9,3,3,0,0,20250212
5580427,860,1,15,6,10,2,2,0,2,3,5,8,20250212
5659304,80,1,15,6,5,3,2,3,1,3,0,0,20250212
5659157,760,1,15,11,2,9,3,2,2,9,0,0,20250212
5657926,250,1,15,7,1,2,8,2,3,2,0,0,20250212
5657955,1490,1,15,20,3,8,3,3,1,3,8,5,20250212
5658447,520,1,15,14,2,6,1,8,2,2,0,0,20250212
5658743,1110,1,15,14,10,3,3,1,2,1,0,0,20250212
5659408,580,1,15,16,4,8,2,2,1,5,0,0,20250212
5659972,840,1,15,14,10,5,5,1,3,4,5,6,20250212
5658631,100,1,15,11,1,3,1,2,4,3,0,0,20250212
5658771,730,1,15,14,0,1,9,2,3,0,0,0,20250212
5654705,480,1,13,13,3,1,2,7,8,2,6,5,20250212
5658895,1190,1,15,20,2,3,8,3,3,2,0,0,20250212
5658382,90,1,15,9,3,4,3,5,2,5,0,0,20250212
4989016,14470,13,19,16,3,2,1,15,0,5,12,12,20250212
5597148,840,1,17,15,3,9,7,5,1,2,5,5,20250212
5659146,750,1,15,15,9,1,1,3,1,3,6,3,20250212
5660445,350,1,15,7,2,2,0,2,1,8,6,5,20250212
4851939,21180,20,16,15,9,0,0,0,0,8,7,12,20250212
5651582,1440,1,15,14,10,7,3,2,1,1,8,7,20250212
5659914,330,1,15,9,6,2,2,8,2,3,0,0,20250212
5658715,390,1,15,15,1,6,6,1,2,6,0,0,20250212
5658999,230,1,15,6,8,1,3,1,1,2,0,0,20250212
5660159,990,1,15,11,2,2,2,10,3,3,0,0,20250212
5659521,850,1,15,11,9,1,9,4,3,3,0,0,20250212
5572388,1320,1,15,10,3,3,6,1,4,9,9,8,20250212
5660495,1070,1,15,19,2,2,3,8,5,3,0,0,20250212
5658686,1950,1,15,20,1,2,10,0,3,2,0,0,20250212
5658444,840,1,15,9,2,3,4,1,2,10,0,0,20250212
5659676,1180,1,15,11,1,2,3,10,1,3,7,5,20250212
5658791,960,1,15,17,3,3,3,2,9,8,0,0,20250212
5659326,690,1,15,18,1,6,0,4,1,2,0,0,20250212
5660507,970,1,15,19,1,2,6,3,8,3,0,0,20250212
5660523,750,1,15,16,3,1,2,2,9,7,0,0,20250212
5658128,460,1,15,15,1,2,1,3,1,8,0,0,20250212
5657927,1240,1,15,17,0,2,10,3,1,1,0,0,20250212
5658646,990,1,15,7,4,10,3,7,3,2,0,0,20250212
5658772,480,1,15,17,2,2,1,2,5,1,0,0,20250212
5660168,560,1,15,12,6,5,2,2,1,9,0,0,20250212
5660174,60,1,15,6,4,2,3,2,3,2,0,0,20250212
5660180,1050,1,15,12,3,2,3,4,4,10,0,0,20250212
5658294,540,1,15,17,6,2,4,2,6,2,0,0,20250212
5658150,300,1,15,15,0,6,0,2,2,2,0,0,20250212
5659390,1580,1,15,19,2,3,3,2,9,1,6,8,20250212
